idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
333,6.8650002,6.866,8.007,-1.1420001,0.128,3.1230001,2.0960002,0.40500003,6.6130004,7.1130004,0,0.11400001,Linear_oracle,dynamic
333,7.5850005,7.5860004,8.007,-0.42200002,0.09900001,1.098,0.85700005,0.254,7.3880005,7.7780004,0,0.31800002,GP_oracle,dynamic
333,8.133,8.133,8.901,-0.768,0.156,2.2680001,1.5000001,0.155,7.827,8.433001,0,0.23,Linear_oracle,stoch
333,8.51,8.509001,8.901,-0.39100003,0.12200001,0.98800004,0.597,0.063,8.271001,8.749001,0,0.39400002,GP_oracle,stoch
333,5.7400002,5.7400002,8.007,-2.2670002,0.14400001,3.9580002,3.0030003,0.565,5.458,6.0220003,0,0.066,Linear_observed,dynamic
333,6.5880003,6.59,8.007,-1.419,0.16700001,2.6220002,2.2180002,0.79700005,6.2560005,6.912,0,0.20600002,GP_observed,dynamic
333,6.3690004,6.3700004,8.901,-2.532,0.24900001,3.4420002,2.736,0.29000002,5.8840003,6.8630004,0,0.094000004,Linear_observed,stoch
333,8.607,8.609,8.901,-0.294,0.312,2.209,1.5330001,0.185,7.9920006,9.22,1,0.37800002,GP_observed,stoch
333,6.5130005,6.51,8.007,-1.4940001,0.16000001,3.344,2.4580002,0.518,6.2000003,6.839,0,0.282,Linear_3S,dynamic
333,6.8040004,6.8040004,8.007,-1.2030001,0.162,2.204,1.9070001,0.45200002,6.4870005,7.1240005,0,0.36,GP_3S,dynamic
333,7.583,7.5790005,8.901,-1.3180001,0.19500001,2.4280002,1.7570001,0.193,7.1920004,7.978,0,0.47000003,Linear_3S,stoch
333,7.2820005,7.2840004,8.901,-1.6190001,0.209,2.025,1.764,0.19900002,6.86,7.688,0,0.45200002,GP_3S,stoch
333,6.6640005,6.6650004,8.007,-1.343,0.14500001,3.325,2.4120002,0.52000004,6.3770003,6.9480004,0,0.09200001,Linear_1S,dynamic
333,7.524,7.5230002,8.007,-0.483,0.15,1.8210001,1.457,0.45000002,7.2320004,7.8210006,0,0.27400002,GP_1S,dynamic
333,7.8440003,7.8470006,8.901,-1.057,0.18,2.3960001,1.7260001,0.18800001,7.4890003,8.1970005,0,0.172,Linear_1S,stoch
333,8.377001,8.377001,8.901,-0.52400005,0.192,1.544,1.001,0.117000006,7.9940004,8.749001,0,0.47000003,GP_1S,stoch
388,7.326,7.3250003,8.745001,-1.419,0.15100001,2.999,2.144,0.35300002,7.0320005,7.6240005,0,0.104,Linear_oracle,dynamic
388,8.153001,8.153001,8.745001,-0.592,0.13100001,1.8320001,1.059,0.18,7.8940005,8.409,0,0.342,GP_oracle,dynamic
388,8.366,8.366,9.275001,-0.90900004,0.179,2.2240002,1.5120001,0.15300001,8.02,8.718,0,0.178,Linear_oracle,stoch
388,8.661,8.659,9.275001,-0.614,0.163,1.9050001,0.97200006,0.09200001,8.344001,8.979,0,0.39600003,GP_oracle,stoch
388,5.5270004,5.5260005,8.745001,-3.2180002,0.15200001,4.3980002,3.5990002,0.56200004,5.227,5.826,0,0.032,Linear_observed,dynamic
388,7.0130005,7.0150003,8.745001,-1.7320001,0.201,2.7810001,2.3160002,0.583,6.6110005,7.4040003,0,0.216,GP_observed,dynamic
388,5.828,5.8290005,9.275001,-3.4470003,0.28100002,4.0870004,3.525,0.365,5.282,6.3810005,0,0.032,Linear_observed,stoch
388,8.943001,8.941,9.275001,-0.33200002,0.42000002,2.102,1.3820001,0.157,8.120001,9.766001,1,0.52400005,GP_observed,stoch
388,6.992,6.9880004,8.745001,-1.7530001,0.19500001,3.2430003,2.4910002,0.43300003,6.603,7.3830004,0,0.28800002,Linear_3S,dynamic
388,7.2720003,7.2720003,8.745001,-1.473,0.19700001,2.436,1.9870001,0.372,6.88,7.6570005,0,0.49400002,GP_3S,dynamic
388,7.9350004,7.931,9.275001,-1.34,0.22800002,2.374,1.7490001,0.185,7.4740005,8.387,0,0.49800003,Linear_3S,stoch
388,7.6000004,7.6040006,9.275001,-1.6750001,0.24200001,2.496,1.83,0.19100001,7.1070004,8.065001,0,0.67,GP_3S,stoch
388,7.2520003,7.2520003,8.745001,-1.493,0.17500001,3.167,2.371,0.42800003,6.9030004,7.596,0,0.104,Linear_1S,dynamic
388,8.1,8.101001,8.745001,-0.64500004,0.19600001,2.3040001,1.5380001,0.32700002,7.7120004,8.483001,0,0.41000003,GP_1S,dynamic
388,8.29,8.291,9.275001,-0.9850001,0.21100001,2.306,1.664,0.17500001,7.873,8.704,0,0.18,Linear_1S,stoch
388,8.613001,8.614,9.275001,-0.66200006,0.24100001,2.3850002,1.2770001,0.132,8.14,9.082001,0,0.56,GP_1S,stoch
443,7.3210006,7.3220005,8.211,-0.89000005,0.13900001,2.982,2.051,0.35200003,7.0480003,7.59,0,0.158,Linear_oracle,dynamic
