idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
210,1.891,1.8900001,1.9260001,-0.035,0.082,0.089,1.7340001,2.0570002,1,Linear_2S,stoch
210,1.843,1.8420001,1.9260001,-0.083000004,0.087000005,0.120000005,1.6760001,2.0180001,1,GP_2S,stoch
210,1.738,1.7350001,1.6100001,0.128,0.089,0.156,1.57,1.9210001,1,Linear_3S,dynamic
210,1.7490001,1.748,1.6100001,0.13900001,0.089,0.165,1.5780001,1.9300001,1,GP_3S,dynamic
210,1.889,1.886,1.9260001,-0.037,0.094000004,0.101,1.7140001,2.081,1,Linear_3S,stoch
210,1.8390001,1.835,1.9260001,-0.087000005,0.095000006,0.128,1.664,2.036,1,GP_3S,stoch
210,1.7800001,1.7810001,1.6100001,0.17,0.058000002,0.179,1.6660001,1.891,0,Linear_1S,dynamic
210,1.7630001,1.7620001,1.6100001,0.15300001,0.059000004,0.164,1.649,1.8790001,0,GP_1S,dynamic
210,2.1460001,2.1460001,1.9260001,0.22000001,0.068,0.23,2.0110002,2.2770002,0,Linear_1S,stoch
210,2.0800002,2.0800002,1.9260001,0.15400001,0.09200001,0.179,1.9000001,2.259,1,GP_1S,stoch
243,1.996,1.996,1.9080001,0.08800001,0.041,0.097,1.9150001,2.078,0,Linear_oracle,dynamic
243,1.955,1.955,1.9080001,0.047000002,0.036000002,0.059000004,1.8850001,2.026,1,GP_oracle,dynamic
243,1.9690001,1.9690001,1.889,0.080000006,0.041,0.089,1.889,2.0500002,0,Linear_oracle,stoch
243,1.9290001,1.9280001,1.889,0.040000003,0.035,0.052,1.8620001,1.9980001,1,GP_oracle,stoch
243,2.509,2.509,1.9080001,0.601,0.07700001,0.606,2.358,2.6620002,0,Linear_observed,dynamic
243,2.459,2.46,1.9080001,0.551,0.081,0.55700004,2.301,2.615,0,GP_observed,dynamic
243,2.051,2.051,1.889,0.162,0.07,0.177,1.9150001,2.1920002,0,Linear_observed,stoch
243,2.0180001,2.019,1.889,0.12900001,0.072000004,0.148,1.8770001,2.16,1,GP_observed,stoch
243,2.012,2.013,1.9080001,0.104,0.076000005,0.12900001,1.863,2.163,1,Linear_2S,dynamic
243,2.045,2.046,1.9080001,0.13700001,0.074,0.156,1.9000001,2.1890001,1,GP_2S,dynamic
243,1.9240001,1.9240001,1.889,0.035,0.068,0.076000005,1.7870001,2.0630002,1,Linear_2S,stoch
243,1.8960001,1.8960001,1.889,0.007,0.065000005,0.065000005,1.7700001,2.023,1,GP_2S,stoch
243,2.013,2.0140002,1.9080001,0.105000004,0.078,0.13100001,1.8600001,2.1690001,1,Linear_3S,dynamic
