idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
148.0,1.8090001,1.8090001,1.909,-0.1,0.14,0.172,1.526,2.088,1.0,GP_2S,dynamic
148.0,1.315,1.319,1.3410001,-0.026,0.13800001,0.14,1.029,1.575,1.0,Linear_2S,stoch
148.0,1.3050001,1.307,1.3410001,-0.036000002,0.133,0.13800001,1.0320001,1.5660001,1.0,GP_2S,stoch
148.0,1.835,1.838,1.909,-0.074,0.14500001,0.163,1.5380001,2.121,1.0,Linear_3S,dynamic
148.0,1.8090001,1.8090001,1.909,-0.1,0.14,0.172,1.526,2.088,1.0,GP_3S,dynamic
148.0,1.3130001,1.319,1.3410001,-0.028,0.13900001,0.142,1.026,1.5740001,1.0,Linear_3S,stoch
148.0,1.3050001,1.3060001,1.3410001,-0.036000002,0.133,0.13800001,1.0320001,1.5660001,1.0,GP_3S,stoch
148.0,1.845,1.8440001,1.909,-0.064,0.141,0.155,1.5690001,2.117,1.0,Linear_1S,dynamic
148.0,1.817,1.8190001,1.909,-0.09200001,0.142,0.16900001,1.534,2.094,1.0,GP_1S,dynamic
148.0,1.33,1.3290001,1.3410001,-0.011000001,0.135,0.135,1.0660001,1.5910001,1.0,Linear_1S,stoch
148.0,1.338,1.3410001,1.3410001,-0.003,0.135,0.135,1.07,1.603,1.0,GP_1S,stoch
181.0,1.5220001,1.5220001,1.654,-0.132,0.133,0.18800001,1.266,1.789,1.0,Linear_oracle,dynamic
181.0,1.4790001,1.478,1.654,-0.17500001,0.135,0.22100002,1.218,1.7470001,1.0,GP_oracle,dynamic
181.0,1.167,1.167,1.348,-0.18100001,0.13100001,0.223,0.91600007,1.4250001,1.0,Linear_oracle,stoch
181.0,1.1810001,1.1800001,1.348,-0.16700001,0.128,0.21000001,0.93000007,1.434,1.0,GP_oracle,stoch
181.0,1.5780001,1.5780001,1.654,-0.076000005,0.165,0.18200001,1.2540001,1.8980001,1.0,Linear_observed,dynamic
181.0,1.5740001,1.572,1.654,-0.080000006,0.157,0.17600001,1.266,1.8820001,1.0,GP_observed,dynamic
181.0,1.1910001,1.1910001,1.348,-0.157,0.13900001,0.209,0.91800004,1.462,1.0,Linear_observed,stoch
181.0,1.189,1.1880001,1.348,-0.15900001,0.135,0.209,0.92100006,1.45,1.0,GP_observed,stoch
181.0,1.521,1.524,1.654,-0.133,0.132,0.187,1.263,1.7750001,1.0,Linear_2S,dynamic
181.0,1.516,1.5150001,1.654,-0.13800001,0.135,0.193,1.251,1.784,1.0,GP_2S,dynamic
181.0,1.169,1.1700001,1.348,-0.179,0.132,0.22200002,0.91,1.427,1.0,Linear_2S,stoch
181.0,1.184,1.182,1.348,-0.164,0.13100001,0.21000001,0.924,1.447,1.0,GP_2S,stoch
181.0,1.5220001,1.5250001,1.654,-0.132,0.132,0.187,1.2620001,1.7760001,1.0,Linear_3S,dynamic
181.0,1.516,1.514,1.654,-0.13800001,0.134,0.193,1.2520001,1.7830001,1.0,GP_3S,dynamic
