idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_1_1,obs_net,dynamic,2.5,1.57603,0.80193996,4.27758,-2.70155,0.36247,2.72576,0.63721997,2.70155,0.67787,0.8714423,2.2883258,0.0,0.0039999997,6.392751,13_1
13_1_1,obs_net,stoch,2.5,1.84709,1.8399299,5.26956,-3.4224799,0.40660998,3.4465399,0.65405,3.4224799,0.63912,1.0564781,2.645446,0.0,0.0,6.392751,13_1
13_1_1,MWG,dynamic,2.5,3.77731,3.4715,4.27758,-0.50027996,0.12383,0.51537,0.12047999,0.71589,0.18029,3.537694,3.9976513,0.0,0.964,2.391089,13_1
13_1_1,MWG,stoch,2.5,4.65626,4.4632397,5.26956,-0.61331,0.14262,0.62966996,0.11949,0.63808,0.11703999,4.375246,4.9199543,0.0,0.69,2.391089,13_1
13_1_1,MWG_rep,dynamic,2.5,3.7679,3.6243,4.27758,-0.50969,0.15007,0.53132,0.12421,0.75986,0.19319999,3.493079,4.0749345,0.0,0.98999995,2.184139,13_1
13_1_1,MWG_rep,stoch,2.5,4.6374097,4.4453297,5.26956,-0.63216,0.13657999,0.64673996,0.122729994,0.69508,0.12669,4.3831043,4.896794,0.0,0.498,2.184139,13_1
13_1_2,true_net,dynamic,3.0,4.29254,3.8673298,4.27758,0.014959999,0.01325,0.01998,0.0046699997,0.014959999,0.0036499999,4.2667246,4.31905,1.0,1.0,0.27719933,13_1
13_1_2,true_net,stoch,3.0,5.2880697,5.0478,5.26956,0.0185,0.01639,0.02472,0.00469,0.0185,0.0034999999,5.256003,5.320882,1.0,1.0,0.27719933,13_1
13_1_2,obs_net,dynamic,3.0,1.46502,0.76704997,4.27758,-2.8125598,0.45575,2.8492498,0.66609,2.8125598,0.70812,0.57465106,2.3523407,0.0,0.0039999997,6.6052904,13_1
13_1_2,obs_net,stoch,3.0,1.72573,1.7225,5.26956,-3.54383,0.51457,3.5809898,0.67956,3.54383,0.66275,0.7190732,2.7280235,0.0,0.0,6.6052904,13_1
