,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
158,505.0,2.8490002,2.8460002,2.545,0.30400002,0.11000001,0.323,0.513,0.30400002,0.416,0.119,0.187,0.016,0.061000004,2.637,3.068,0.0,0.294,Linear_1S,stoch,,Linear,1S,0.30400002,0.43100000000000005
159,505.0,2.8530002,2.8520002,2.545,0.30800003,0.156,0.34600002,0.62700003,0.31100002,0.48100004,0.12200001,0.21100001,0.018000001,0.07700001,2.5440001,3.1620002,1.0,0.528,GP_1S,stoch,,GP,1S,0.30800003,0.6180001000000002
0,11.0,0.83100003,0.83100003,0.83100003,0.0,0.025,0.025,0.049000002,0.020000001,0.028,0.024,0.037,0.001,0.002,0.78400004,0.88000005,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.0,0.09600001000000002
1,11.0,0.8,0.80100006,0.83100003,-0.031000001,0.028,0.041,0.256,0.034,0.1,0.041,0.13900001,0.002,0.052,0.74600005,0.855,1.0,0.934,GP_oracle,dynamic,,GP,Oracle,0.031000001,0.10899994999999996
2,11.0,2.6130002,2.6120002,2.6120002,0.001,0.07700001,0.07700001,0.087000005,0.062000003,0.064,0.024,0.024,0.001,0.001,2.4640002,2.765,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.001,0.30099980000000004
3,11.0,2.4780002,2.479,2.6120002,-0.134,0.083000004,0.157,0.56200004,0.13700001,0.21700001,0.053000003,0.069000006,0.004,0.015000001,2.3130002,2.64,1.0,0.9620001,GP_oracle,stoch,,GP,Oracle,0.134,0.3269998000000003
4,11.0,0.514,0.513,0.83100003,-0.317,0.047000002,0.32000002,0.47800002,0.317,0.356,0.38200003,743.95404,0.149,12052070.0,0.423,0.606,0.0,0.23200001,Linear_observed,dynamic,,Linear,Obs.,0.317,0.183
5,11.0,0.356,0.356,0.83100003,-0.47500002,0.076000005,0.48100004,0.647,0.47500002,0.508,0.572,921.37103,0.335,25127278.0,0.209,0.505,0.0,0.36800003,GP_observed,dynamic,,GP,Obs.,0.47500002,0.29600000000000004
6,11.0,1.5460001,1.5450001,2.6120002,-1.0660001,0.125,1.0730001,1.3060001,1.065,1.074,0.40800002,0.372,0.16900001,0.16600001,1.3010001,1.7930001,0.0,0.11000001,Linear_observed,stoch,,Linear,Obs.,1.0660001,0.492
7,11.0,1.917,1.917,2.6120002,-0.69500005,0.14600001,0.71000004,1.3750001,0.694,1.0990001,0.266,0.40800002,0.074,0.22200002,1.626,2.204,0.0,0.27,GP_observed,stoch,,GP,Obs.,0.69500005,0.5780000000000003
8,11.0,0.66400003,0.66300005,0.83100003,-0.16700001,0.038000003,0.171,0.37500003,0.16700001,0.282,0.201,1255.972,0.042000003,42212280.0,0.591,0.74100006,0.0,0.82000005,Linear_3S,dynamic,,Linear,3S,0.16700001,0.15000006
9,11.0,2.117,2.115,2.6120002,-0.49500003,0.10700001,0.507,0.735,0.49500003,0.582,0.19000001,0.208,0.038000003,0.059000004,1.9110001,2.331,0.0,0.60200006,Linear_3S,stoch,,Linear,3S,0.49500003,0.41999989999999987
