,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,model,type,abs_bias,ci_length
56,166.0,0.31100002,0.31,0.69200003,-0.381,0.07700001,0.64000005,0.657,0.41000003,0.42700002,0.55,1021.8171,0.924,0.94900006,0.16700001,0.46500003,0.0,0.56200004,Linear_3S,dynamic,Linear,3S,0.381,0.29800002000000003
57,166.0,1.1750001,1.1730001,2.6200001,-1.445,0.284,1.562,1.6,1.445,1.447,0.551,0.535,0.596,0.611,0.63900006,1.7350001,0.0,0.062000003,Linear_3S,stoch,Linear,3S,1.445,1.0960000399999998
58,166.0,0.38200003,0.402,0.69200003,-0.31,0.32200003,0.432,0.76100004,0.326,0.46300003,0.518,1205.869,0.624,1.0990001,-0.261,1.01,1.0,0.80200005,BYM_3S,dynamic,BYM,3S,0.31,1.271
59,166.0,1.455,1.5270001,2.6200001,-1.1650001,1.215,1.3340001,1.8370001,1.1650001,1.4080001,0.514,0.526,0.509,0.70100003,-0.93700004,3.8250003,1.0,0.994,BYM_3S,stoch,BYM,3S,1.1650001,4.76200034
60,166.0,0.476,0.47400004,0.69200003,-0.216,0.097,0.541,0.55700004,0.333,0.344,0.314,2134.3162,0.78200006,0.804,0.29500002,0.674,0.0,0.43,Linear_1S,dynamic,Linear,1S,0.216,0.37899998000000007
61,166.0,0.69200003,0.63900006,0.69200003,-0.0,0.256,0.25300002,0.572,0.201,0.32500002,0.279,2487.195,0.36600003,0.82600003,0.344,1.3280001,1.0,0.77400005,BYM_1S,dynamic,BYM,1S,0.0,0.9840000999999999
62,166.0,1.7870001,1.779,2.6200001,-0.83300006,0.35900003,0.94900006,1.024,0.83800006,0.86500007,0.319,0.316,0.36200002,0.39100003,1.1140001,2.523,0.0,0.40800002,Linear_1S,stoch,Linear,1S,0.83300006,1.4089999000000002
63,166.0,2.611,2.4090002,2.6200001,-0.009000001,0.966,0.43100002,1.0840001,0.34800002,0.81000006,0.279,0.31800002,0.165,0.41400003,1.3000001,5.0080004,1.0,1.0,BYM_1S,stoch,BYM,1S,0.009000001,3.7080003
64,221.0,0.59300005,0.59300005,0.69200003,-0.09900001,0.07300001,0.18,0.22000001,0.09900001,0.112,0.15200001,0.147,0.26000002,0.31800002,0.45600003,0.73800004,1.0,1.0,Linear_oracle,dynamic,Linear,Oracle,0.09900001,0.28200000999999997
65,221.0,0.781,0.73600006,0.69200003,0.089,0.201,0.163,0.40300003,0.089,0.164,0.224,0.21300001,0.23600002,0.583,0.51100004,1.2750001,1.0,1.0,BYM_oracle,dynamic,BYM,Oracle,0.089,0.76400006
66,221.0,2.246,2.243,2.6200001,-0.374,0.27400002,0.38700002,0.48900002,0.37500003,0.4,0.15200001,0.15300001,0.148,0.186,1.728,2.7900002,1.0,1.0,Linear_oracle,stoch,Linear,Oracle,0.374,1.0620002000000002
67,221.0,2.9570003,2.7870002,2.6200001,0.337,0.762,0.34800002,0.87000006,0.337,0.58900005,0.224,0.22500001,0.133,0.33200002,1.937,4.8300004,1.0,1.0,BYM_oracle,stoch,BYM,Oracle,0.337,2.8930004
68,221.0,0.4,0.39900002,0.69200003,-0.29200003,0.075,0.462,0.47700003,0.337,0.342,0.42200002,1187.145,0.66700006,0.69000006,0.256,0.549,0.0,0.284,Linear_observed,dynamic,Linear,Obs.,0.29200003,0.29300000000000004
69,221.0,0.53300005,0.47500002,0.69200003,-0.15900001,0.224,0.363,0.61800003,0.27,0.36,0.344,1417.2471,0.52500004,0.89300007,0.27600002,1.171,1.0,0.674,BYM_observed,dynamic,BYM,Obs.,0.15900001,0.89499998
70,221.0,1.4860001,1.4820001,2.6200001,-1.1340001,0.26900002,1.348,1.378,1.1420001,1.1580001,0.43300003,0.41000003,0.514,0.526,0.966,2.019,0.0,0.21200001,Linear_observed,stoch,Linear,Obs.,1.1340001,1.0530000000000002
71,221.0,1.9860001,1.7650001,2.6200001,-0.634,0.83100003,0.96800005,1.289,0.739,1.0200001,0.349,0.37500003,0.37,0.492,1.0500001,4.3570004,1.0,0.9760001,BYM_observed,stoch,BYM,Obs.,0.634,3.3070003000000003
72,221.0,0.43300003,0.42900002,0.69200003,-0.259,0.083000004,0.42200002,0.45600003,0.30200002,0.326,0.37500003,1243.9171,0.61,0.65800005,0.28,0.61,0.0,0.716,Linear_3S,dynamic,Linear,3S,0.259,0.32999999999999996
73,221.0,1.6370001,1.6250001,2.6200001,-0.98300004,0.305,1.1240001,1.189,0.984,1.0090001,0.37600002,0.363,0.42900002,0.45400003,1.07,2.2770002,0.0,0.388,Linear_3S,stoch,Linear,3S,0.98300004,1.2070001999999997
74,221.0,0.52900004,0.499,0.69200003,-0.163,0.163,0.31100002,0.504,0.22500001,0.326,0.293,1442.7101,0.45000002,0.72800004,0.29700002,0.94600004,1.0,0.87000006,BYM_3S,dynamic,BYM,3S,0.163,0.6490000200000001
75,221.0,2.0010002,1.889,2.6200001,-0.619,0.61300004,0.80600005,1.0530001,0.65000004,0.84800005,0.293,0.312,0.307,0.402,1.1350001,3.5730002,1.0,0.99200004,BYM_3S,stoch,BYM,3S,0.619,2.4380001
76,221.0,0.643,0.64100003,0.69200003,-0.049000002,0.105000004,0.30800003,0.34,0.23300001,0.25,0.136,2574.298,0.44500002,0.492,0.44500002,0.86200005,1.0,0.504,Linear_1S,dynamic,Linear,1S,0.049000002,0.41700003
77,221.0,0.74600005,0.71800005,0.69200003,0.054,0.178,0.254,0.416,0.20400001,0.27100003,0.192,2805.633,0.367,0.601,0.47700003,1.1810001,1.0,0.59000003,BYM_1S,dynamic,BYM,1S,0.054,0.7040000700000001
78,221.0,2.4150002,2.4050002,2.6200001,-0.20500001,0.39200002,0.45700002,0.619,0.35900003,0.47800002,0.13700001,0.18,0.17500001,0.23600002,1.6780001,3.229,1.0,0.92,Linear_1S,stoch,Linear,1S,0.20500001,1.5509999
79,221.0,2.8030002,2.697,2.6200001,0.18300001,0.66700006,0.44400004,0.822,0.351,0.605,0.19000001,0.24400002,0.17,0.314,1.802,4.4440002,1.0,0.96800005,BYM_1S,stoch,BYM,1S,0.18300001,2.6420001999999996
80,276.0,0.46600002,0.46500003,0.69200003,-0.22600001,0.064,0.43100002,0.446,0.22600001,0.22700001,0.326,0.26000002,0.623,0.64400005,0.34600002,0.595,0.0,0.896,Linear_oracle,dynamic,Linear,Oracle,0.22600001,0.24899997999999995
81,276.0,0.734,0.683,0.69200003,0.042000003,0.245,0.15300001,0.52500004,0.057000004,0.2,0.25800002,0.23700002,0.22200002,0.75900006,0.41400003,1.335,1.0,1.0,BYM_oracle,dynamic,BYM,Oracle,0.042000003,0.92099997
82,276.0,1.7620001,1.7570001,2.6200001,-0.85800004,0.23900001,0.883,0.92100006,0.85800004,0.85800004,0.32700002,0.33200002,0.337,0.35200003,1.3100001,2.2480001,0.0,0.0,Linear_oracle,stoch,Linear,Oracle,0.85800004,0.9380000000000002
83,276.0,2.7810001,2.5900002,2.6200001,0.16100001,0.93200004,0.162,0.98,0.16000001,0.68500006,0.259,0.26500002,0.062000003,0.374,1.5680001,5.0610003,1.0,1.0,BYM_oracle,stoch,BYM,Oracle,0.16100001,3.4930002
84,276.0,0.30100003,0.3,0.69200003,-0.39100003,0.074,0.59800005,0.609,0.416,0.42000002,0.565,908.54803,0.864,0.88000005,0.158,0.446,0.0,0.314,Linear_observed,dynamic,Linear,Obs.,0.39100003,0.28800000000000003
85,276.0,0.16800001,0.051000003,0.69200003,-0.52400005,0.527,1.029,1.2260001,0.563,0.818,0.98600006,3854.6753,1.4860001,1.7720001,-0.439,1.0090001,1.0,0.77000004,BYM_observed,dynamic,BYM,Obs.,0.52400005,1.4480001
86,276.0,1.1220001,1.12,2.6200001,-1.498,0.26500002,1.6680001,1.692,1.498,1.5020001,0.572,0.545,0.637,0.646,0.611,1.6450001,0.0,0.07,Linear_observed,stoch,Linear,Obs.,1.498,1.0340001
87,276.0,0.597,0.18300001,2.6200001,-2.023,1.8490001,2.1520002,2.9620001,2.0240002,2.628,0.95100003,1.021,0.82100004,1.13,-1.5350001,3.5540001,1.0,0.71800005,BYM_observed,stoch,BYM,Obs.,2.023,5.0890002
88,276.0,0.33,0.328,0.69200003,-0.36200002,0.066,0.57900006,0.596,0.388,0.402,0.52400005,1001.13104,0.837,0.86100006,0.20700002,0.46500003,0.0,0.53800005,Linear_3S,dynamic,Linear,3S,0.36200002,0.25800001
89,276.0,1.294,1.2880001,2.6200001,-1.3260001,0.261,1.4510001,1.488,1.3260001,1.33,0.50600004,0.48700002,0.554,0.568,0.80700004,1.8220001,0.0,0.08800001,Linear_3S,stoch,Linear,3S,1.3260001,1.0150000599999998
90,276.0,0.48100004,0.44700003,0.69200003,-0.21100001,0.208,0.34800002,0.633,0.25100002,0.379,0.372,1159.9811,0.503,0.915,0.155,0.99200004,1.0,0.77800006,BYM_3S,dynamic,BYM,3S,0.21100001,0.83700004
91,276.0,1.8820001,1.751,2.6200001,-0.73800004,0.81100005,0.93000007,1.264,0.76000005,1.018,0.36,0.37800002,0.35500002,0.48200002,0.597,3.8680003,1.0,0.994,BYM_3S,stoch,BYM,3S,0.73800004,3.2710003
92,276.0,0.46,0.45800003,0.69200003,-0.23200001,0.082,0.49800003,0.512,0.317,0.326,0.33600003,1939.7041,0.71900004,0.739,0.307,0.624,0.0,0.40800002,Linear_1S,dynamic,Linear,1S,0.23200001,0.317
93,276.0,0.73200005,0.67700005,0.69200003,0.040000003,0.27400002,0.30900002,0.643,0.23500001,0.33100003,0.286,2568.0562,0.446,0.929,0.37600002,1.3820001,1.0,0.726,BYM_1S,dynamic,BYM,1S,0.040000003,1.00600008
94,276.0,1.8180001,1.8110001,2.6200001,-0.80200005,0.32700002,0.92800003,0.99200004,0.80700004,0.83000004,0.307,0.30100003,0.354,0.379,1.205,2.4780002,0.0,0.374,Linear_1S,stoch,Linear,1S,0.80200005,1.2730001999999998
95,276.0,2.8820002,2.6680002,2.6200001,0.26200002,1.0780001,0.503,1.2140001,0.41300002,0.86,0.29700002,0.34500003,0.192,0.46400002,1.475,5.4340005,1.0,0.998,BYM_1S,stoch,BYM,1S,0.26200002,3.9590004999999997
