idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
86_0_3,cont_relax,gate,3.5,9.51153,9.511459,11.95934,-2.44781,0.24889,0.20572999,0.18852,False,0.858,999.0
86_0_4,true_net,dynamic,4.0,3.8658898,3.31756,3.69822,0.16766,0.12569,0.05666,0.05085,True,1.0,0.35692433
86_0_4,true_net,gate,4.0,12.51167,12.07329,11.95934,0.55232996,0.41296,0.057669997,0.04575,True,1.0,0.35692433
86_0_4,obs_net,dynamic,4.0,-0.42376,-0.88745,3.69822,-4.1219897,0.90844995,1.14133,1.31242,False,0.0,6.0608315
86_0_4,obs_net,gate,4.0,-1.02832,-1.0215499,11.95934,-12.98767,2.6145399,1.10777,1.0886099,False,0.0,6.0608315
86_0_4,MWG,dynamic,4.0,3.09632,2.95585,3.69822,-0.6019,0.17641999,0.10176,0.124524995,True,1.0,1.026385
86_0_4,MWG,gate,4.0,9.8866,9.65182,11.95934,-2.0727398,0.5159,0.10716,0.087875,True,0.798,1.026385
86_0_4,MWG_no_z,dynamic,4.0,3.1619499,3.02822,3.69822,-0.53628,0.17169,0.1294209915,0.16711099999999998,True,1.0,0.98101735
86_0_4,MWG_no_z,gate,4.0,10.05454,9.8072195,11.95934,-1.9047999,0.50834,0.14012249999999998,0.11400899299999999,True,0.824,0.98101735
86_0_4,MWG_rep,dynamic,4.0,3.10578,2.97784,3.69822,-0.59244996,0.18073,0.100493994,0.11434,False,1.0,1.1677847
86_0_4,MWG_rep,gate,4.0,9.77349,9.56709,11.95934,-2.18585,0.54819,0.11305799999999999,0.090174995,False,0.82199997,1.1677847
86_0_4,MWG_misspec,dynamic,4.0,3.4482398,3.31039,3.69822,-0.24998999,0.19749999,0.07925800000000001,0.199827,True,1.0,999.0
86_0_4,MWG_misspec,gate,4.0,11.00243,10.75406,11.95934,-0.95691997,0.59027,0.0864891954,0.102672,True,0.95199996,999.0
86_0_4,two_stage_refined,dynamic,4.0,3.0808299,2.4322,3.69822,-0.6174,0.14148,0.17127,0.26134,False,0.22,1.0690213
86_0_4,two_stage_refined,gate,4.0,9.77473,9.39717,11.95934,-2.18461,0.45477998,0.18659,0.18503,True,0.17799999,1.0690213
86_0_4,two_stage_no_refine,dynamic,4.0,1.73912,0.87939996,3.69822,-1.9591,0.16799,0.53169,0.58191997,False,0.015999999,3.1959593
86_0_4,two_stage_no_refine,gate,4.0,5.5548797,5.42445,11.95934,-6.40446,0.56276,0.53758,0.52775,False,0.0,3.1959593
86_0_4,two_stage_rep_refined,dynamic,4.0,3.14989,2.47782,3.69822,-0.54833,0.16102,0.15452999,0.22957,False,0.288,1.1096144
86_0_4,two_stage_rep_refined,gate,4.0,9.91654,9.57453,11.95934,-2.0428,0.51211,0.1761,0.17187999,True,0.24,1.1096144
86_0_4,cont_relax,dynamic,4.0,5.38116,5.2820897,3.69822,1.68293,0.1591,0.45709,0.66694,False,1.0,999.0
86_0_4,cont_relax,gate,4.0,16.45854,16.45833,11.95934,4.4992,0.251,0.37679,0.42681,False,0.21,999.0
51_0_0,true_net,dynamic,2.0,4.25178,3.7109098,4.15168,0.100109994,0.1466,0.04276,0.02814,True,1.0,0.2772797
51_0_0,true_net,gate,2.0,12.82218,12.36024,12.5284195,0.29377,0.43546,0.041929998,0.02307,True,1.0,0.2772797
51_0_0,obs_net,dynamic,2.0,1.54835,0.74473,4.15168,-2.60332,0.40589,0.63462996,0.68443,False,0.01,4.385193
51_0_0,obs_net,gate,2.0,4.78935,4.75253,12.5284195,-7.73906,1.1793599,0.62485,0.60662,False,0.0,4.385193
51_0_0,MWG,dynamic,2.0,3.7911398,3.61955,4.15168,-0.36053,0.20556,0.059975999999999995,0.123799995,True,0.996,0.9278892
51_0_0,MWG,gate,2.0,11.6676,11.377709,12.5284195,-0.86081,0.61775,0.050742,0.05458,True,0.956,0.9278892
51_0_0,MWG_no_z,dynamic,2.0,4.30513,4.1522098,4.15168,0.15345,0.19225,0.050362497449999995,0.18806900000000001,True,1.0,0.64560115
51_0_0,MWG_no_z,gate,2.0,13.53726,13.1404,12.5284195,1.00884,0.58724,0.07919449575,0.089194,True,0.928,0.64560115
51_0_0,MWG_rep,dynamic,2.0,4.36331,4.18873,4.15168,0.21163,0.21526,0.043626,0.126315,True,0.99399996,0.5644592
51_0_0,MWG_rep,gate,2.0,13.38,12.97246,12.5284195,0.85157996,0.62224,0.050508000000000004,0.056525,True,0.96599996,0.5644592
51_0_0,MWG_misspec,dynamic,2.0,3.39986,3.22502,4.15168,-0.75180995,0.18414,0.17152479080000002,0.252063,True,0.98999995,999.0
51_0_0,MWG_misspec,gate,2.0,10.09741,9.777699,12.5284195,-2.431,0.49852,0.1822335908,0.17597700000000002,True,0.782,999.0
51_0_0,two_stage_refined,dynamic,2.0,3.8408499,3.21502,4.15168,-0.31081998,0.18812,0.08751,0.25403,True,0.248,0.92605793
51_0_0,two_stage_refined,gate,2.0,11.79665,11.39265,12.5284195,-0.73175997,0.57076,0.07407,0.110479996,True,0.494,0.92605793
51_0_0,two_stage_no_refine,dynamic,2.0,1.8496599,0.97652996,4.15168,-2.3020198,0.15636,0.55575997,0.60346,False,0.012,3.047177
51_0_0,two_stage_no_refine,gate,2.0,5.6553497,5.49283,12.5284195,-6.87307,0.45543998,0.5498,0.54122,False,0.0,3.047177
51_0_0,two_stage_rep_refined,dynamic,2.0,4.4363,3.8767798,4.15168,0.28463,0.18463999,0.081719995,0.27209,True,0.252,0.58823663
51_0_0,two_stage_rep_refined,gate,2.0,13.56341,13.08577,12.5284195,1.035,0.55816,0.09386,0.12653999,True,0.42,0.58823663
51_0_0,cont_relax,dynamic,2.0,2.80463,2.67817,4.15168,-1.34705,0.1674,0.32694998,0.33528,False,0.98999995,999.0
51_0_0,cont_relax,gate,2.0,8.7881,8.787169,12.5284195,-3.74032,0.26994,0.29931998,0.27999,False,0.622,999.0
51_0_1,true_net,dynamic,2.5,4.24903,3.7075799,4.15168,0.09736,0.14733,0.04254,0.027369998,True,1.0,0.2762909
51_0_1,true_net,gate,2.5,12.814119,12.35314,12.5284195,0.2857,0.43752998,0.04171,0.02244,True,1.0,0.2762909
51_0_1,obs_net,dynamic,2.5,1.46593,0.72857,4.15168,-2.68575,0.48804998,0.65749997,0.70712996,False,0.018,4.5401983
51_0_1,obs_net,gate,2.5,4.5466,4.5215597,12.5284195,-7.9818096,1.41342,0.64700997,0.62645996,False,0.0,4.5401983
51_0_1,MWG,dynamic,2.5,4.05706,3.90777,4.15168,-0.09462,0.22812,0.035694,0.12478,True,0.992,0.8415456
51_0_1,MWG,gate,2.5,12.337239,11.99272,12.5284195,-0.19116999,0.65326,0.032598,0.047989998,True,0.98999995,0.8415456
51_0_1,MWG_no_z,dynamic,2.5,3.8704598,3.6920998,4.15168,-0.28121,0.21133,0.0720205,0.162434993,True,0.99399996,1.0056585
51_0_1,MWG_no_z,gate,2.5,11.7805195,11.45296,12.5284195,-0.7479,0.59335,0.06477000000000001,0.07543199999999999,True,0.972,1.0056585
51_0_1,MWG_rep,dynamic,2.5,4.11897,3.94257,4.15168,-0.0327,0.19912,0.02916,0.122719995,True,0.99799997,0.4852302
51_0_1,MWG_rep,gate,2.5,12.70896,12.35574,12.5284195,0.18055,0.5796,0.029076,0.048575,True,0.968,0.4852302
51_0_1,MWG_misspec,dynamic,2.5,3.80346,3.68749,4.15168,-0.34822,0.20881,0.08997599448,0.21718800000000002,True,1.0,999.0
51_0_1,MWG_misspec,gate,2.5,11.65248,11.33233,12.5284195,-0.87592995,0.61574996,0.0786232,0.0994409946,True,0.96199995,999.0
51_0_1,two_stage_refined,dynamic,2.5,4.1166897,3.57667,4.15168,-0.034989998,0.19390999,0.047459997,0.26578,True,0.28399998,0.82200354
51_0_1,two_stage_refined,gate,2.5,12.50924,12.01999,12.5284195,-0.01917,0.58120996,0.04642,0.10207,True,0.53,0.82200354
51_0_1,two_stage_no_refine,dynamic,2.5,2.18868,1.35815,4.15168,-1.9629899,0.21753,0.47570997,0.50277996,False,0.051999997,2.9770274
51_0_1,two_stage_no_refine,gate,2.5,6.78531,6.62361,12.5284195,-5.7430997,0.65879,0.46141,0.44924998,False,0.0,2.9770274
51_0_1,two_stage_rep_refined,dynamic,2.5,4.07207,3.54003,4.15168,-0.07961,0.17311,0.04589,0.26022,True,0.258,0.49065825
51_0_1,two_stage_rep_refined,gate,2.5,12.587569,12.13608,12.5284195,0.05915,0.53032,0.04259,0.1034,True,0.51,0.49065825
51_0_1,cont_relax,dynamic,2.5,2.75916,2.63237,4.15168,-1.3925099,0.16713,0.33782,0.34651998,False,0.988,999.0
51_0_1,cont_relax,gate,2.5,8.66169,8.662109,12.5284195,-3.86672,0.27071,0.30938998,0.28966,False,0.59999996,999.0
51_0_2,true_net,dynamic,3.0,4.2481,3.70655,4.15168,0.09642,0.14734,0.042409997,0.027129998,True,1.0,0.27626172
51_0_2,true_net,gate,3.0,12.811319,12.35042,12.5284195,0.28291,0.43758,0.041589998,0.022219999,True,1.0,0.27626172
51_0_2,obs_net,dynamic,3.0,1.13255,0.46377,4.15168,-3.01913,0.59979,0.74142,0.80658,False,0.012,4.8436613
51_0_2,obs_net,gate,3.0,3.58439,3.5669599,12.5284195,-8.94403,1.75368,0.72749,0.70541996,False,0.0,4.8436613
51_0_2,MWG,dynamic,3.0,3.8383298,3.6913998,4.15168,-0.31333998,0.18758999,0.0527819976,0.1223,True,0.996,0.6494726
51_0_2,MWG,gate,3.0,11.808519,11.451819,12.5284195,-0.71989,0.53534997,0.04296599759999999,0.053659998,True,0.956,0.6494726
51_0_2,MWG_no_z,dynamic,3.0,3.74894,3.57195,4.15168,-0.40274,0.2077,0.0927775,0.162665993,True,0.99399996,0.65690047
51_0_2,MWG_no_z,gate,3.0,11.45249,11.089109,12.5284195,-1.07593,0.59244,0.083334,0.0814519958,True,0.928,0.65690047
51_0_2,MWG_rep,dynamic,3.0,3.9486198,3.7730699,4.15168,-0.20304999,0.19714,0.0409019976,0.115054995,True,0.99799997,0.54756683
51_0_2,MWG_rep,gate,3.0,11.89561,11.57449,12.5284195,-0.6328,0.53713,0.03975,0.052545,True,0.956,0.54756683
51_0_2,MWG_misspec,dynamic,3.0,3.89004,3.7515,4.15168,-0.26163998,0.21666,0.07527439632,0.225539982,True,0.996,999.0
51_0_2,MWG_misspec,gate,3.0,11.78099,11.419459,12.5284195,-0.74742997,0.65814,0.07313080000000001,0.0948599964,True,0.96199995,999.0
51_0_2,two_stage_refined,dynamic,3.0,3.7865,3.27318,4.15168,-0.36518,0.16959,0.09698,0.2571,True,0.24599999,0.6714906
51_0_2,two_stage_refined,gate,3.0,11.77535,11.32576,12.5284195,-0.75307,0.52318,0.073189996,0.11481,True,0.454,0.6714906
51_0_2,two_stage_no_refine,dynamic,3.0,2.0132399,1.16569,4.15168,-2.1384299,0.18700999,0.51704,0.55125,False,0.024,3.0847492
51_0_2,two_stage_no_refine,gate,3.0,6.3459496,6.19548,12.5284195,-6.18246,0.58349,0.49567,0.48428997,False,0.0,3.0847492
51_0_2,two_stage_rep_refined,dynamic,3.0,4.0015397,3.45471,4.15168,-0.15014,0.16721,0.05413,0.24108,True,0.304,0.54402024
51_0_2,two_stage_rep_refined,gate,3.0,11.991079,11.542379,12.5284195,-0.53734,0.49183998,0.05814,0.11097,True,0.41599998,0.54402024
51_0_2,cont_relax,dynamic,3.0,4.2754498,4.16031,4.15168,0.12378,0.17125,0.05089,0.24603999,True,1.0,999.0
51_0_2,cont_relax,gate,3.0,13.42618,13.42594,12.5284195,0.89777,0.27712,0.07499,0.15812999,False,0.918,999.0
51_0_3,true_net,dynamic,3.5,4.24904,3.7075698,4.15168,0.09737,0.14827,0.04273,0.02735,True,1.0,0.27699015
51_0_3,true_net,gate,3.5,12.814179,12.35262,12.5284195,0.28577,0.44032,0.041899998,0.02245,True,1.0,0.27699015
51_0_3,obs_net,dynamic,3.5,0.59295,-0.04725,4.15168,-3.55873,0.68252,0.8728,0.96928,False,0.0039999997,5.2858953
51_0_3,obs_net,gate,3.5,1.9834499,1.98776,12.5284195,-10.54497,2.03111,0.85716,0.83702,False,0.0,5.2858953
51_0_3,MWG,dynamic,3.5,3.6067998,3.42925,4.15168,-0.54488,0.20001,0.08388,0.126205,True,0.99399996,1.0338815
51_0_3,MWG,gate,3.5,10.791249,10.493159,12.5284195,-1.73717,0.54271996,0.08716199399999999,0.07426,True,0.852,1.0338815
51_0_3,MWG_no_z,dynamic,3.5,3.64617,3.48032,4.15168,-0.50551,0.18795,0.11041499999999999,0.178045,True,0.99399996,1.0951244
51_0_3,MWG_no_z,gate,3.5,11.10878,10.794519,12.5284195,-1.4196299,0.53721,0.1029774949,0.094184993,True,0.904,1.0951244
51_0_3,MWG_rep,dynamic,3.5,4.02161,3.83304,4.15168,-0.13007,0.19789,0.034224,0.112895,True,1.0,0.60102004
51_0_3,MWG_rep,gate,3.5,12.2380295,11.87148,12.5284195,-0.29038998,0.56316996,0.030348,0.051905,True,0.974,0.60102004
51_0_3,MWG_misspec,dynamic,3.5,5.12628,5.0156097,4.15168,0.97459996,0.32121998,0.22739639080000001,0.366525,True,0.99799997,999.0
51_0_3,MWG_misspec,gate,3.5,15.887899,15.570539,12.5284195,3.35949,0.9608,0.256588,0.260055,True,0.67399997,999.0
51_0_3,two_stage_refined,dynamic,3.5,3.6889298,3.0862799,4.15168,-0.46273997,0.17976,0.119569995,0.25843,False,0.276,1.0401963
51_0_3,two_stage_refined,gate,3.5,10.96355,10.52228,12.5284195,-1.56487,0.52129996,0.13165,0.14534,False,0.32,1.0401963
51_0_3,two_stage_no_refine,dynamic,3.5,1.83497,0.96752995,4.15168,-2.3167,0.2135,0.56038,0.60328996,False,0.015999999,3.3479016
51_0_3,two_stage_no_refine,gate,3.5,5.65242,5.5371,12.5284195,-6.876,0.63019997,0.55113,0.54023,False,0.0,3.3479016
51_0_3,two_stage_rep_refined,dynamic,3.5,4.03358,3.4458299,4.15168,-0.11809,0.17548999,0.05095,0.23919,True,0.294,0.6106879
51_0_3,two_stage_rep_refined,gate,3.5,12.31345,11.82864,12.5284195,-0.21496,0.5288,0.04556,0.10939,True,0.44,0.6106879
51_0_3,cont_relax,dynamic,3.5,2.98294,2.85532,4.15168,-1.1687399,0.17022,0.28448,0.29944,False,0.996,999.0
51_0_3,cont_relax,gate,3.5,9.43549,9.436629,12.5284195,-3.0929198,0.27388,0.24783999,0.22715,False,0.788,999.0
51_0_4,true_net,dynamic,4.0,4.24902,3.70732,4.15168,0.097349994,0.14396,0.04186,0.027369998,True,1.0,0.27551705
51_0_4,true_net,gate,4.0,12.814079,12.3536,12.5284195,0.28566,0.42751,0.04104,0.02244,True,1.0,0.27551705
51_0_4,obs_net,dynamic,4.0,-0.2579,-0.80091995,4.15168,-4.4095798,0.85925996,1.0820999,1.22577,False,0.0,5.968998
51_0_4,obs_net,gate,4.0,-0.5697,-0.5202,12.5284195,-13.09812,2.57093,1.06542,1.04696,False,0.0,5.968998
51_0_4,MWG,dynamic,4.0,3.91547,3.76433,4.15168,-0.23620999,0.21776,0.046428000000000004,0.109905,True,1.0,0.9066095
51_0_4,MWG,gate,4.0,11.7694,11.462279,12.5284195,-0.75902,0.60710996,0.046548,0.0534099975,True,0.956,0.9066095
51_0_4,MWG_no_z,dynamic,4.0,3.2798898,3.12492,4.15168,-0.87178,0.21835999,0.1839994915,0.18022898599999998,True,0.996,1.3365431
