idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
169.0,2.667,2.667,2.6710002,-0.004,0.07300001,0.004,0.080000006,0.004,0.060000002,2.525,2.808,1.0,1.0,Linear_oracle,stoch
169.0,2.608,2.608,2.6710002,-0.063,0.081,0.231,0.328,0.087000005,0.14600001,2.4510002,2.7710001,1.0,1.0,GP_oracle,stoch
169.0,0.633,0.633,0.74600005,-0.113000005,0.042000003,0.33600003,0.34100002,0.256,0.259,0.551,0.71500003,0.0,0.216,Linear_observed,dynamic
169.0,0.509,0.508,0.74600005,-0.23700002,0.063,0.446,0.47700003,0.33900002,0.367,0.388,0.637,0.0,0.50200003,GP_observed,dynamic
169.0,1.9800001,1.978,2.6710002,-0.69100004,0.12200001,0.99300003,1.001,0.78200006,0.78900003,1.7390001,2.22,0.0,0.20600002,Linear_observed,stoch
169.0,2.112,2.112,2.6710002,-0.559,0.134,1.166,1.217,0.89100003,0.9110001,1.8520001,2.381,0.0,0.33800003,GP_observed,stoch
169.0,0.58900005,0.587,0.74600005,-0.157,0.038000003,0.307,0.34100002,0.224,0.25300002,0.51900005,0.66800004,0.0,0.78000003,Linear_3S,dynamic
169.0,2.1430001,2.1390002,2.6710002,-0.528,0.12900001,0.72900003,0.78900003,0.57900006,0.625,1.899,2.403,0.0,0.588,Linear_3S,stoch
169.0,0.558,0.55700004,0.74600005,-0.18800001,0.042000003,0.37800002,0.47300002,0.24700001,0.30400002,0.47500002,0.64100003,0.0,0.906,GP_3S,dynamic
169.0,2.0,2.0,2.6710002,-0.671,0.13100001,0.90700006,1.034,0.69500005,0.77000004,1.7450001,2.2580001,0.0,0.74600005,GP_3S,stoch
169.0,0.75100005,0.75100005,0.74600005,0.0050000004,0.030000001,0.24100001,0.246,0.18800001,0.19000001,0.693,0.81100005,1.0,0.20600002,Linear_1S,dynamic
169.0,0.70500004,0.70600003,0.74600005,-0.041,0.048,0.503,0.564,0.28300002,0.305,0.61,0.79700005,1.0,0.51600003,GP_1S,dynamic
169.0,2.8060002,2.8040001,2.6710002,0.135,0.11800001,0.45000002,0.46800002,0.36600003,0.37800002,2.575,3.042,1.0,0.36,Linear_1S,stoch
169.0,2.798,2.7970002,2.6710002,0.127,0.16900001,1.021,1.0910001,0.65800005,0.683,2.457,3.134,1.0,0.43800002,GP_1S,stoch
224.0,0.72400004,0.72400004,0.74300003,-0.019000001,0.021000002,0.036000002,0.051000003,0.019000001,0.027,0.683,0.76400006,1.0,1.0,Linear_oracle,dynamic
224.0,0.71400005,0.71400005,0.74300003,-0.029000001,0.021000002,0.057000004,0.117000006,0.037,0.067,0.67300004,0.75600004,1.0,1.0,GP_oracle,dynamic
224.0,2.5900002,2.5890002,2.657,-0.067,0.072000004,0.069000006,0.105000004,0.067,0.082,2.446,2.7310002,1.0,1.0,Linear_oracle,stoch
224.0,2.5330002,2.5340002,2.657,-0.124000005,0.075,0.21700001,0.296,0.124000005,0.15400001,2.384,2.6790001,1.0,1.0,GP_oracle,stoch
224.0,0.558,0.558,0.74300003,-0.185,0.043,0.349,0.354,0.26900002,0.273,0.47400004,0.642,0.0,0.22800002,Linear_observed,dynamic
224.0,0.374,0.37500003,0.74300003,-0.36900002,0.07300001,0.497,0.52500004,0.40500003,0.42600003,0.23400001,0.514,0.0,0.418,GP_observed,dynamic
224.0,1.891,1.891,2.657,-0.76600003,0.13100001,1.0500001,1.059,0.823,0.83000004,1.6330001,2.15,0.0,0.20400001,Linear_observed,stoch
224.0,2.032,2.0340002,2.657,-0.625,0.15300001,1.223,1.276,0.93200004,0.961,1.7300001,2.334,0.0,0.32200003,GP_observed,stoch
224.0,0.58500004,0.58400005,0.74300003,-0.158,0.039,0.305,0.35200003,0.23300001,0.272,0.513,0.66400003,0.0,0.82400006,Linear_3S,dynamic
224.0,2.078,2.0740001,2.657,-0.57900006,0.11000001,0.74700004,0.80600005,0.606,0.64900005,1.871,2.302,0.0,0.55,Linear_3S,stoch
224.0,0.55600005,0.555,0.74300003,-0.187,0.046000004,0.337,0.44400004,0.25,0.324,0.469,0.64900005,0.0,0.93200004,GP_3S,dynamic
224.0,1.9440001,1.9430001,2.657,-0.71300006,0.123,0.882,1.0090001,0.721,0.794,1.705,2.1890001,0.0,0.762,GP_3S,stoch
224.0,0.762,0.76100004,0.74300003,0.019000001,0.030000001,0.25500003,0.25800002,0.20400001,0.20700002,0.703,0.82000005,1.0,0.2,Linear_1S,dynamic
224.0,0.74500006,0.74600005,0.74300003,0.002,0.045,0.37300003,0.41900003,0.25,0.272,0.65400004,0.83000004,1.0,0.53800005,GP_1S,dynamic
224.0,2.6720002,2.6710002,2.657,0.015000001,0.101,0.402,0.41700003,0.317,0.328,2.4720001,2.8720002,1.0,0.39200002,Linear_1S,stoch
224.0,2.6780002,2.676,2.657,0.021000002,0.14600001,0.795,0.85400003,0.46300003,0.49600002,2.4,2.963,1.0,0.578,GP_1S,stoch
279.0,0.71000004,0.71000004,0.71900004,-0.009000001,0.020000001,0.016,0.039,0.013,0.023000002,0.671,0.748,1.0,1.0,Linear_oracle,dynamic
279.0,0.69500005,0.69500005,0.71900004,-0.024,0.023000002,0.14400001,0.178,0.046000004,0.071,0.648,0.74,1.0,0.99200004,GP_oracle,dynamic
279.0,2.5660002,2.5660002,2.5960002,-0.030000001,0.071,0.036000002,0.085,0.030000001,0.063,2.43,2.7040002,1.0,1.0,Linear_oracle,stoch
279.0,2.5040002,2.5040002,2.5960002,-0.09200001,0.07700001,0.29900002,0.33900002,0.101,0.14600001,2.3490002,2.6550002,1.0,0.98200005,GP_oracle,stoch
279.0,0.56200004,0.56200004,0.71900004,-0.157,0.039,0.34800002,0.35200003,0.25500003,0.26000002,0.48400003,0.64000005,0.0,0.264,Linear_observed,dynamic
279.0,0.317,0.316,0.71900004,-0.402,0.058000002,0.535,0.555,0.43800002,0.45100003,0.201,0.43,0.0,0.286,GP_observed,dynamic
279.0,1.9340001,1.9330001,2.5960002,-0.66200006,0.12200001,0.94000006,0.94900006,0.73200005,0.74,1.692,2.173,0.0,0.23200001,Linear_observed,stoch
279.0,2.042,2.0410001,2.5960002,-0.554,0.136,1.19,1.2320001,0.952,0.9710001,1.7770001,2.311,0.0,0.28,GP_observed,stoch
279.0,0.58000004,0.57900006,0.71900004,-0.13900001,0.038000003,0.30400002,0.34800002,0.22100002,0.261,0.51100004,0.65900004,0.0,0.82000005,Linear_3S,dynamic
279.0,2.161,2.158,2.5960002,-0.43500003,0.11000001,0.59400004,0.66800004,0.47500002,0.53300005,1.9510001,2.3830001,0.0,0.67200005,Linear_3S,stoch
279.0,0.55700004,0.55600005,0.71900004,-0.162,0.044000003,0.33400002,0.423,0.23900001,0.30200002,0.47500002,0.647,0.0,0.91400003,GP_3S,dynamic
279.0,2.022,2.0210001,2.5960002,-0.574,0.120000005,0.70600003,0.845,0.588,0.675,1.789,2.2580001,0.0,0.86200005,GP_3S,stoch
279.0,0.735,0.735,0.71900004,0.016,0.026,0.259,0.263,0.20400001,0.20600002,0.684,0.78800005,1.0,0.17600001,Linear_1S,dynamic
279.0,0.711,0.711,0.71900004,-0.008,0.035,0.29500002,0.323,0.21900001,0.23300001,0.64000005,0.77900004,1.0,0.42600003,GP_1S,dynamic
279.0,2.729,2.7280002,2.5960002,0.133,0.097,0.37500003,0.38900003,0.3,0.31,2.5400002,2.9220002,1.0,0.374,Linear_1S,stoch
279.0,2.6330001,2.631,2.5960002,0.037,0.12900001,0.439,0.499,0.314,0.34800002,2.38,2.8880002,1.0,0.66400003,GP_1S,stoch
334.0,0.87900007,0.87900007,0.90400004,-0.025,0.025,0.062000003,0.075,0.05,0.052,0.83000004,0.92700005,1.0,1.0,Linear_oracle,dynamic
334.0,0.8880001,0.8880001,0.90400004,-0.016,0.025,0.19000001,0.21700001,0.085,0.104,0.83900005,0.93600005,1.0,0.92600006,GP_oracle,dynamic
334.0,2.5760002,2.5760002,2.6330001,-0.057000004,0.069000006,0.083000004,0.112,0.062000003,0.080000006,2.44,2.713,1.0,1.0,Linear_oracle,stoch
334.0,2.5600002,2.561,2.6330001,-0.07300001,0.074,0.40600002,0.43100002,0.155,0.186,2.4120002,2.7050002,1.0,0.938,GP_oracle,stoch
334.0,0.555,0.554,0.90400004,-0.349,0.039,0.52900004,0.53300005,0.41000003,0.41300002,0.47900003,0.63000005,0.0,0.13800001,Linear_observed,dynamic
334.0,0.41200003,0.41200003,0.90400004,-0.492,0.079,0.634,0.657,0.505,0.52500004,0.25800002,0.568,0.0,0.37600002,GP_observed,dynamic
334.0,1.741,1.7390001,2.6330001,-0.892,0.115,1.128,1.1350001,0.91400003,0.91800004,1.5150001,1.9640001,0.0,0.142,Linear_observed,stoch
334.0,1.7390001,1.738,2.6330001,-0.89400005,0.136,1.248,1.2930001,0.98200005,1.0070001,1.4760001,2.0,0.0,0.30200002,GP_observed,stoch
334.0,0.614,0.61300004,0.90400004,-0.29000002,0.039,0.46400002,0.48400003,0.35300002,0.37100002,0.541,0.694,0.0,0.544,Linear_3S,dynamic
334.0,1.9990001,1.996,2.6330001,-0.634,0.117000006,0.81900007,0.85800004,0.656,0.68600005,1.7730001,2.2350001,0.0,0.42200002,Linear_3S,stoch
334.0,0.597,0.597,0.90400004,-0.307,0.040000003,0.483,0.54,0.363,0.40300003,0.51900005,0.67700005,0.0,0.71400005,GP_3S,dynamic
334.0,1.904,1.9050001,2.6330001,-0.72900003,0.123,0.8880001,0.96900004,0.74,0.78200006,1.6610001,2.1450002,0.0,0.55,GP_3S,stoch
334.0,0.799,0.799,0.90400004,-0.105000004,0.033,0.35700002,0.36,0.27400002,0.277,0.735,0.86500007,0.0,0.164,Linear_1S,dynamic
334.0,0.78300005,0.78300005,0.90400004,-0.12100001,0.040000003,0.42400002,0.45000002,0.30800003,0.32000002,0.70500004,0.86200005,0.0,0.402,GP_1S,dynamic
334.0,2.615,2.614,2.6330001,-0.018000001,0.11000001,0.42400002,0.44000003,0.337,0.34800002,2.401,2.8330002,1.0,0.372,Linear_1S,stoch
334.0,2.558,2.559,2.6330001,-0.075,0.16100001,0.606,0.65900004,0.40100002,0.437,2.24,2.8730001,1.0,0.648,GP_1S,stoch
389.0,0.71000004,0.71000004,0.716,-0.006,0.019000001,0.054,0.065000005,0.028,0.033,0.67200005,0.74700004,1.0,1.0,Linear_oracle,dynamic
389.0,0.693,0.693,0.716,-0.023000002,0.022000002,0.149,0.194,0.059000004,0.083000004,0.65000004,0.73600006,1.0,0.99200004,GP_oracle,dynamic
389.0,2.7170002,2.7170002,2.7400002,-0.023000002,0.075,0.032,0.08800001,0.028,0.068,2.5700002,2.8600001,1.0,1.0,Linear_oracle,stoch
389.0,2.6360002,2.6360002,2.7400002,-0.104,0.07700001,0.25,0.31800002,0.13100001,0.16600001,2.486,2.7840002,1.0,0.998,GP_oracle,stoch
389.0,0.52500004,0.52500004,0.716,-0.19100001,0.042000003,0.34300002,0.34800002,0.257,0.263,0.44000003,0.60800004,0.0,0.252,Linear_observed,dynamic
389.0,0.36200002,0.36200002,0.716,-0.354,0.063,0.504,0.531,0.40600002,0.42400002,0.23700002,0.48200002,0.0,0.41200003,GP_observed,dynamic
389.0,1.825,1.825,2.7400002,-0.915,0.132,1.154,1.1620001,0.95300007,0.96000004,1.5630001,2.085,0.0,0.15200001,Linear_observed,stoch
389.0,1.8600001,1.8620001,2.7400002,-0.88000005,0.15,1.2570001,1.3080001,0.9990001,1.026,1.5610001,2.1550002,0.0,0.314,GP_observed,stoch
389.0,0.58100003,0.58000004,0.716,-0.135,0.041,0.28100002,0.32700002,0.208,0.24900001,0.504,0.66400003,0.0,0.846,Linear_3S,dynamic
389.0,2.19,2.186,2.7400002,-0.55,0.135,0.72400004,0.791,0.58900005,0.63900006,1.9290001,2.4580002,0.0,0.582,Linear_3S,stoch
389.0,0.573,0.572,0.716,-0.143,0.049000002,0.32200003,0.441,0.224,0.305,0.47800002,0.67,0.0,0.96000004,GP_3S,dynamic
389.0,2.071,2.071,2.7400002,-0.669,0.13700001,0.81200004,0.96500003,0.68500006,0.777,1.8010001,2.3390002,0.0,0.818,GP_3S,stoch
389.0,0.79200006,0.79200006,0.716,0.076000005,0.034,0.246,0.25100002,0.20300001,0.20700002,0.726,0.859,0.0,0.224,Linear_1S,dynamic
389.0,0.72700006,0.72800004,0.716,0.011000001,0.039,0.328,0.36600003,0.22500001,0.24300002,0.65000004,0.80200005,1.0,0.45800003,GP_1S,dynamic
389.0,2.9770002,2.9750001,2.7400002,0.23700002,0.126,0.483,0.50200003,0.39000002,0.402,2.729,3.2270002,1.0,0.36200002,Linear_1S,stoch
389.0,2.7250001,2.726,2.7400002,-0.015000001,0.15,0.523,0.59900004,0.38300002,0.42000002,2.424,3.0130002,1.0,0.652,GP_1S,stoch
444.0,0.82100004,0.82100004,0.823,-0.002,0.025,0.020000001,0.047000002,0.011000001,0.026,0.772,0.86800003,1.0,1.0,Linear_oracle,dynamic
444.0,0.79,0.79200006,0.823,-0.033,0.031000001,0.24700001,0.29500002,0.069000006,0.102000006,0.72300005,0.846,1.0,0.98600006,GP_oracle,dynamic
444.0,2.6330001,2.6330001,2.641,-0.008,0.079,0.011000001,0.086,0.010000001,0.065000005,2.476,2.7840002,1.0,1.0,Linear_oracle,stoch
444.0,2.5570002,2.559,2.641,-0.08400001,0.09,0.48900002,0.536,0.134,0.192,2.375,2.729,1.0,0.96400005,GP_oracle,stoch
444.0,0.61700004,0.61700004,0.823,-0.20600002,0.048,0.39000002,0.39600003,0.29500002,0.3,0.52400005,0.71000004,0.0,0.25800002,Linear_observed,dynamic
444.0,0.513,0.514,0.823,-0.31,0.066,0.48200002,0.51500005,0.37,0.4,0.38200003,0.64000005,0.0,0.52400005,GP_observed,dynamic
444.0,1.8440001,1.843,2.641,-0.79700005,0.13100001,1.036,1.046,0.82800007,0.836,1.59,2.0990002,0.0,0.186,Linear_observed,stoch
444.0,1.8180001,1.82,2.641,-0.823,0.134,1.1140001,1.1550001,0.90300006,0.92700005,1.5550001,2.081,0.0,0.29200003,GP_observed,stoch
444.0,0.634,0.633,0.823,-0.18900001,0.041,0.344,0.38300002,0.25500003,0.29200003,0.559,0.71900004,0.0,0.758,Linear_3S,dynamic
