idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
178.0,0.717,0.716,0.81000006,-0.093,0.059000004,0.33200002,0.34100002,0.254,0.26000002,0.6,0.832,1.0,0.28800002,Linear_observed,dynamic
178.0,0.53400004,0.53300005,0.81000006,-0.27600002,0.076000005,0.49800003,0.537,0.395,0.42400002,0.384,0.684,0.0,0.51000005,GP_observed,dynamic
178.0,1.9260001,1.9230001,2.6790001,-0.753,0.148,1.0810001,1.093,0.83400005,0.84400004,1.6350001,2.216,0.0,0.24000001,Linear_observed,stoch
178.0,2.141,2.1390002,2.6790001,-0.53800005,0.194,1.19,1.2670001,0.906,0.94600004,1.7620001,2.532,0.0,0.42400002,GP_observed,stoch
178.0,0.76600003,0.76500005,0.81000006,-0.044000003,0.042000003,0.23700002,0.294,0.185,0.22800002,0.68700004,0.85200006,1.0,0.8880001,Linear_3S,dynamic
178.0,2.364,2.3620002,2.6790001,-0.31500003,0.123,0.56700003,0.65500003,0.43300003,0.509,2.128,2.611,0.0,0.762,Linear_3S,stoch
178.0,0.735,0.735,0.81000006,-0.075,0.051000003,0.36900002,0.528,0.22800002,0.324,0.634,0.836,1.0,0.966,GP_3S,dynamic
178.0,2.1890001,2.19,2.6790001,-0.49,0.133,0.776,0.966,0.54200006,0.689,1.9260001,2.4450002,0.0,0.91600007,GP_3S,stoch
178.0,0.95100003,0.95100003,0.81000006,0.141,0.034,0.264,0.26900002,0.21900001,0.22200002,0.88500005,1.018,0.0,0.17,Linear_1S,dynamic
178.0,0.91,0.9110001,0.81000006,0.1,0.047000002,0.441,0.49300003,0.294,0.314,0.81500006,1.0020001,0.0,0.42400002,GP_1S,dynamic
178.0,3.0040002,3.002,2.6790001,0.32500002,0.113000005,0.52500004,0.53800005,0.432,0.44200003,2.7840002,3.2280002,0.0,0.27400002,Linear_1S,stoch
178.0,2.9210002,2.9210002,2.6790001,0.24200001,0.149,0.82100004,0.883,0.57500005,0.59900004,2.6250002,3.2170002,1.0,0.43400002,GP_1S,stoch
233.0,0.564,0.564,0.577,-0.013,0.018000001,0.017,0.037,0.013,0.021000002,0.52900004,0.59900004,1.0,1.0,Linear_oracle,dynamic
233.0,0.54200006,0.54300004,0.577,-0.035,0.024,0.13800001,0.18,0.061000004,0.078,0.49500003,0.588,1.0,0.99600005,GP_oracle,dynamic
233.0,2.709,2.709,2.769,-0.060000002,0.085,0.064,0.113000005,0.059000004,0.085,2.5410001,2.8730001,1.0,1.0,Linear_oracle,stoch
233.0,2.581,2.5800002,2.769,-0.18800001,0.095000006,0.48800004,0.54700005,0.18800001,0.22600001,2.3950002,2.765,0.0,0.95600003,GP_oracle,stoch
233.0,0.432,0.43100002,0.577,-0.14500001,0.034,0.3,0.30400002,0.223,0.22700001,0.365,0.5,0.0,0.23600002,Linear_observed,dynamic
233.0,0.312,0.312,0.577,-0.26500002,0.048,0.37500003,0.397,0.28800002,0.30800003,0.21800001,0.40800002,0.0,0.48800004,GP_observed,dynamic
233.0,1.9430001,1.94,2.769,-0.82600003,0.134,1.0940001,1.103,0.883,0.89000005,1.6800001,2.209,0.0,0.194,Linear_observed,stoch
233.0,1.9700001,1.9670001,2.769,-0.799,0.24100001,1.343,1.4280001,1.026,1.077,1.5070001,2.4380002,0.0,0.388,GP_observed,stoch
