idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
359,4.5160003,4.5160003,4.676,-0.16000001,0.10300001,0.58000004,0.44200003,0.22200002,4.316,4.7200003,1,0.88600004,GP_3S,dynamic
359,5.677,5.676,5.8840003,-0.20700002,0.101,0.56600004,0.44500002,0.082,5.478,5.88,0,0.86800003,Linear_3S,stoch
359,5.359,5.3640003,5.8840003,-0.52500004,0.147,1.1040001,0.70100003,0.11100001,5.056,5.6330004,0,0.82600003,GP_3S,stoch
359,4.7390003,4.7400002,4.676,0.063,0.059000004,0.46300003,0.37,0.15,4.624,4.855,1,0.36,Linear_1S,dynamic
359,4.8620005,4.8630004,4.676,0.186,0.104,0.60300004,0.46600002,0.23200001,4.658,5.064,1,0.546,GP_1S,dynamic
359,5.848,5.848,5.8840003,-0.036000002,0.082,0.483,0.381,0.076000005,5.688,6.01,1,0.32200003,Linear_1S,stoch
359,5.8840003,5.8900003,5.8840003,0,0.15400001,1.0040001,0.67,0.12100001,5.5670004,6.1730003,1,0.50600004,GP_1S,stoch
414,4.933,4.933,4.939,-0.006,0.052,0.033,0.022000002,0.008,4.8300004,5.0350003,1,1,Linear_oracle,dynamic
414,4.8960004,4.8960004,4.939,-0.043,0.07300001,0.24900001,0.141,0.10700001,4.7530003,5.039,1,0.98600006,GP_oracle,dynamic
414,5.6780005,5.6780005,5.675,0.003,0.066,0.038000003,0.030000001,0.006,5.5480003,5.808,1,1,Linear_oracle,stoch
414,5.552,5.5540004,5.675,-0.123,0.080000006,0.31500003,0.16700001,0.032,5.392,5.7060003,1,0.99000007,GP_oracle,stoch
414,4.4300003,4.4300003,4.939,-0.509,0.069000006,1.348,0.86200005,0.24900001,4.295,4.565,0,0.27,Linear_observed,dynamic
414,4.228,4.229,4.939,-0.711,0.112,1.536,1.169,0.42600003,4.0090003,4.447,0,0.296,GP_observed,dynamic
414,5.242,5.241,5.675,-0.43300003,0.10700001,1.366,0.9110001,0.156,5.03,5.4540005,0,0.25,Linear_observed,stoch
414,6.214,6.2120004,5.675,0.53900003,0.179,1.3490001,1.0680001,0.19800001,5.8630004,6.571,0,0.324,GP_observed,stoch
414,4.8450003,4.8450003,4.939,-0.094000004,0.074,0.546,0.43100002,0.125,4.704,4.9940004,1,0.882,Linear_3S,dynamic
414,4.727,4.727,4.939,-0.21200001,0.093,0.68200004,0.52400005,0.22600001,4.543,4.9080005,0,0.818,GP_3S,dynamic
414,5.4610004,5.46,5.675,-0.21400002,0.089,0.577,0.441,0.080000006,5.2860003,5.6400003,0,0.86600006,Linear_3S,stoch
414,5.216,5.2200003,5.675,-0.45900002,0.119,0.88000005,0.62,0.109000005,4.9700003,5.438,0,0.814,GP_3S,stoch
414,4.925,4.925,4.939,-0.014,0.059000004,0.47300002,0.38200003,0.117000006,4.807,5.0410004,1,0.34,Linear_1S,dynamic
414,4.8780003,4.8780003,4.939,-0.061000004,0.08800001,0.605,0.46800002,0.22100002,4.703,5.051,1,0.554,GP_1S,dynamic
414,5.637,5.637,5.675,-0.038000003,0.07700001,0.467,0.372,0.07300001,5.4870005,5.788,1,0.324,Linear_1S,stoch
414,5.491,5.493,5.675,-0.18400002,0.116000004,0.72300005,0.50600004,0.094000004,5.2500005,5.7110004,1,0.53000003,GP_1S,stoch
469,4.854,4.854,4.933,-0.079,0.052,0.089,0.080000006,0.025,4.7530003,4.9550004,1,1,Linear_oracle,dynamic
469,4.7380004,4.7380004,4.933,-0.19500001,0.069000006,0.48800004,0.25300002,1.33,4.603,4.873,0,0.9620001,GP_oracle,dynamic
469,5.668,5.668,5.755,-0.087000005,0.067,0.094000004,0.087000005,0.016,5.539,5.7990003,1,1,Linear_oracle,stoch
469,5.5070004,5.5080004,5.755,-0.24800001,0.085,0.61700004,0.286,0.21400002,5.3370004,5.669,0,0.92200005,GP_oracle,stoch
469,4.1010003,4.1010003,4.933,-0.832,0.068,1.514,0.99600005,1.088,3.9680002,4.235,0,0.194,Linear_observed,dynamic
469,3.7960002,3.7960002,4.933,-1.1370001,0.109000005,1.866,1.442,1.314,3.5800002,4.01,0,0.238,GP_observed,dynamic
469,4.9540005,4.953,5.755,-0.80100006,0.098000005,1.5840001,1.023,0.21300001,4.761,5.1450005,0,0.208,Linear_observed,stoch
469,5.9340005,5.9350004,5.755,0.179,0.16000001,1.1470001,0.85700005,0.29000002,5.6190004,6.249,1,0.314,GP_observed,stoch
469,4.715,4.714,4.933,-0.21800001,0.075,0.61800003,0.47700003,0.19900002,4.571,4.866,0,0.832,Linear_3S,dynamic
469,4.464,4.4630003,4.933,-0.469,0.089,0.892,0.64900005,1.3050001,4.2900004,4.6410003,0,0.708,GP_3S,dynamic
469,5.4220004,5.4210005,5.755,-0.333,0.093,0.657,0.50600004,0.097,5.241,5.609,0,0.79,Linear_3S,stoch
469,5.105,5.1070004,5.755,-0.65000004,0.12100001,1.072,0.754,0.28300002,4.861,5.3370004,0,0.72400004,GP_3S,stoch
469,4.8050003,4.8040004,4.933,-0.128,0.059000004,0.52500004,0.42000002,0.17500001,4.689,4.918,0,0.31,Linear_1S,dynamic
469,4.605,4.6060004,4.933,-0.328,0.085,0.78300005,0.558,1.4280001,4.4360003,4.769,0,0.40800002,GP_1S,dynamic
469,5.602,5.6010003,5.755,-0.15300001,0.07700001,0.51000005,0.41000003,0.083000004,5.451,5.7520003,0,0.266,Linear_1S,stoch
469,5.3320003,5.3370004,5.755,-0.423,0.11400001,0.87200004,0.606,0.266,5.0930004,5.5420003,0,0.356,GP_1S,stoch
524,4.9480004,4.9480004,4.8030005,0.14500001,0.049000002,0.216,0.157,0.039,4.852,5.045,0,0.71800005,Linear_oracle,dynamic
524,4.888,4.8890004,4.8030005,0.085,0.066,0.29000002,0.16800001,0.063,4.756,5.0160003,1,0.952,GP_oracle,dynamic
524,6.071,6.071,5.8360004,0.23500001,0.067,0.29700002,0.23500001,0.036000002,5.9420004,6.203,0,0.25,Linear_oracle,stoch
524,5.8580003,5.8630004,5.8360004,0.022000002,0.09900001,0.721,0.381,0.056,5.649,6.0390005,1,0.606,GP_oracle,stoch
524,4.045,4.045,4.8030005,-0.758,0.078,1.406,0.95300007,0.223,3.89,4.1990004,0,0.256,Linear_observed,dynamic
524,3.5310001,3.5310001,4.8030005,-1.2720001,0.13700001,2.072,1.664,0.531,3.2600002,3.8000002,0,0.194,GP_observed,dynamic
524,5.2660003,5.2660003,5.8360004,-0.57000005,0.108,1.511,1.006,0.16700001,5.0550003,5.478,0,0.21000001,Linear_observed,stoch
524,6.6400003,6.6410003,5.8360004,0.804,0.187,1.5280001,1.2620001,0.23500001,6.274,7.004,0,0.208,GP_observed,stoch
524,4.846,4.846,4.8030005,0.043,0.079,0.574,0.45700002,0.142,4.6930003,5.0030003,1,0.864,Linear_3S,dynamic
524,4.7240005,4.7240005,4.8030005,-0.079,0.08800001,0.628,0.47300002,0.15900001,4.551,4.8970003,1,0.874,GP_3S,dynamic
524,5.7780004,5.7770004,5.8360004,-0.058000002,0.101,0.558,0.44500002,0.083000004,5.5790005,5.978,1,0.87600005,Linear_3S,stoch
524,5.5360003,5.537,5.8360004,-0.3,0.12100001,1.041,0.651,0.105000004,5.295,5.7720003,0,0.86600006,GP_3S,stoch
524,4.9490004,4.9490004,4.8030005,0.14600001,0.059000004,0.587,0.47200003,0.147,4.834,5.063,0,0.27600002,Linear_1S,dynamic
524,4.842,4.8430004,4.8030005,0.039,0.080000006,0.63000005,0.48400003,0.16600001,4.684,4.9940004,1,0.47800002,GP_1S,dynamic
524,5.998,5.998,5.8360004,0.162,0.080000006,0.563,0.45400003,0.089,5.84,6.155,0,0.25800002,Linear_1S,stoch
524,5.755,5.7590003,5.8360004,-0.081,0.11100001,0.96900004,0.65300006,0.11100001,5.5280004,5.9630003,1,0.372,GP_1S,stoch
