idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
422.0,0.837,0.837,1.0890001,-0.252,0.060000002,0.432,0.32500002,0.71800005,0.95600003,0.0,0.29000002,Linear_observed,dynamic
422.0,0.65900004,0.65900004,1.0890001,-0.43,0.063,0.595,0.522,0.535,0.78200006,0.0,0.194,GP_observed,dynamic
422.0,2.621,2.621,3.9290001,-1.3080001,0.18100001,1.5130001,1.3080001,2.2640002,2.9810002,0.0,0.048,Linear_observed,stoch
422.0,3.0640001,3.065,3.9290001,-0.86500007,0.22600001,1.536,1.3100001,2.624,3.5060003,0.0,0.286,GP_observed,stoch
422.0,0.99600005,0.99500006,1.0890001,-0.093,0.042000003,0.25,0.192,0.91800004,1.0830001,0.0,0.89400005,Linear_3S,dynamic
422.0,4.571,4.5740004,1.0890001,3.482,0.126,3.9210002,3.4810002,4.313,4.809,0.0,0.37800002,GP_3S,dynamic
422.0,3.5490003,3.545,3.9290001,-0.38000003,0.13900001,0.48200002,0.402,3.2870002,3.8360002,0.0,0.73600006,Linear_3S,stoch
422.0,2.8590002,2.8590002,3.9290001,-1.07,0.20700002,1.3240001,1.072,2.4490001,3.259,0.0,0.70600003,GP_3S,stoch
422.0,1.1010001,1.1010001,1.0890001,0.012,0.036000002,0.22700001,0.18400002,1.0300001,1.171,1.0,0.23400001,Linear_1S,dynamic
422.0,1.044,1.039,1.0890001,-0.045,0.075,0.48100004,0.303,0.90800005,1.218,1.0,0.47000003,GP_1S,dynamic
422.0,3.9340003,3.9350002,3.9290001,0.0050000004,0.13100001,0.272,0.216,3.6780002,4.19,1.0,0.68,Linear_1S,stoch
422.0,3.6510003,3.6550002,3.9290001,-0.27800003,0.22600001,0.86,0.45700002,3.193,4.0870004,1.0,0.832,GP_1S,stoch
477.0,1.1810001,1.1810001,1.146,0.035,0.032,0.039,0.035,1.1190001,1.2440001,1.0,1.0,Linear_oracle,dynamic
477.0,1.159,1.1580001,1.146,0.013,0.044000003,0.305,0.17500001,1.077,1.25,1.0,0.42600003,GP_oracle,dynamic
477.0,4.0230002,4.0220003,3.9020002,0.12100001,0.11000001,0.126,0.12100001,3.8090003,4.241,1.0,1.0,Linear_oracle,stoch
477.0,3.9240003,3.926,3.9020002,0.022000002,0.158,0.753,0.44200003,3.611,4.2330003,1.0,0.67800003,GP_oracle,stoch
477.0,0.93700004,0.93700004,1.146,-0.209,0.065000005,0.418,0.32500002,0.808,1.0660001,0.0,0.30800003,Linear_observed,dynamic
477.0,0.697,0.697,1.146,-0.44900003,0.076000005,0.592,0.517,0.54800004,0.846,0.0,0.22200002,GP_observed,dynamic
477.0,2.778,2.778,3.9020002,-1.1240001,0.18300001,1.3640001,1.128,2.417,3.1420002,0.0,0.14,Linear_observed,stoch
477.0,3.2890003,3.2860003,3.9020002,-0.61300004,0.24300002,1.488,1.2830001,2.8190002,3.762,0.0,0.264,GP_observed,stoch
