idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
185.0,6.768,6.7660003,5.7430005,1.0250001,0.18,1.6960001,1.355,0.26000002,6.418,7.1200004,0.0,0.23200001,GP_observed,stoch
185.0,4.5220003,4.5220003,4.4690003,0.053000003,0.068,0.527,0.41700003,0.259,4.3890004,4.6540003,1.0,0.89400005,Linear_3S,dynamic
185.0,4.4690003,4.4690003,4.4690003,0.0,0.07700001,0.625,0.45900002,0.293,4.3180003,4.6200004,1.0,0.82400006,GP_3S,dynamic
185.0,5.6730003,5.6720004,5.7430005,-0.07,0.086,0.545,0.42400002,0.080000006,5.505,5.8440003,1.0,0.874,Linear_3S,stoch
185.0,5.4630003,5.465,5.7430005,-0.28,0.104,0.851,0.56,0.093,5.2530003,5.6600003,0.0,0.84400004,GP_3S,stoch
185.0,4.5490003,4.5490003,4.4690003,0.080000006,0.052,0.508,0.40300003,0.238,4.447,4.65,1.0,0.32200003,Linear_1S,dynamic
185.0,4.506,4.506,4.4690003,0.037,0.067,0.619,0.45900002,0.25500003,4.3760004,4.637,1.0,0.476,GP_1S,dynamic
185.0,5.8500004,5.8510003,5.7430005,0.10700001,0.07,0.508,0.407,0.082,5.7110004,5.9870005,1.0,0.28800002,Linear_1S,stoch
185.0,5.721,5.723,5.7430005,-0.022000002,0.087000005,0.82500005,0.574,0.101,5.5460005,5.8900003,1.0,0.37800002,GP_1S,stoch
240.0,4.852,4.852,4.788,0.064,0.059000004,0.11800001,0.087000005,0.098000005,4.737,4.9680004,1.0,1.0,Linear_oracle,dynamic
240.0,4.7650003,4.7660003,4.788,-0.023000002,0.082,0.795,0.37800002,0.40300003,4.603,4.9240003,1.0,0.77000004,GP_oracle,dynamic
240.0,5.7060003,5.7060003,5.637,0.069000006,0.080000006,0.101,0.083000004,0.020000001,5.55,5.861,1.0,1.0,Linear_oracle,stoch
240.0,5.5210004,5.5220003,5.637,-0.116000004,0.098000005,1.148,0.523,0.089,5.326,5.71,1.0,0.67,GP_oracle,stoch
240.0,4.116,4.116,4.788,-0.67200005,0.066,1.4150001,0.89000005,0.22000001,3.9870002,4.242,0.0,0.24800001,Linear_observed,dynamic
240.0,4.085,4.085,4.788,-0.703,0.10700001,1.718,1.3410001,0.73,3.874,4.296,0.0,0.24000001,GP_observed,dynamic
240.0,4.985,4.984,5.637,-0.652,0.109000005,1.473,0.95800006,0.16000001,4.7720003,5.201,0.0,0.238,Linear_observed,stoch
240.0,5.985,5.984,5.637,0.34800002,0.209,1.508,1.047,0.19800001,5.57,6.393,1.0,0.31,GP_observed,stoch
240.0,4.71,4.709,4.788,-0.078,0.080000006,0.572,0.44200003,0.223,4.5540004,4.8700004,1.0,0.84800005,Linear_3S,dynamic
240.0,4.5800004,4.5820003,4.788,-0.208,0.11400001,0.90200007,0.59000003,0.49400002,4.3500004,4.796,1.0,0.85200006,GP_3S,dynamic
240.0,5.386,5.385,5.637,-0.25100002,0.10300001,0.59900004,0.46100003,0.083000004,5.181,5.5870004,0.0,0.83000004,Linear_3S,stoch
240.0,5.1710005,5.1780005,5.637,-0.46600002,0.142,1.2570001,0.70400006,0.116000004,4.874,5.431,0.0,0.85600007,GP_3S,stoch
240.0,4.855,4.855,4.788,0.067,0.067,0.48600003,0.39100003,0.224,4.723,4.9880004,1.0,0.36200002,Linear_1S,dynamic
240.0,4.7840004,4.7850003,4.788,-0.004,0.095000006,0.94100004,0.623,0.57000005,4.597,4.9690003,1.0,0.45800003,GP_1S,dynamic
240.0,5.6460004,5.6460004,5.637,0.009000001,0.09200001,0.44200003,0.365,0.075,5.4680004,5.8290005,1.0,0.342,Linear_1S,stoch
240.0,5.4890003,5.491,5.637,-0.148,0.115,1.2670001,0.725,0.13100001,5.2580004,5.7130003,1.0,0.372,GP_1S,stoch
295.0,5.1340003,5.1340003,5.1730003,-0.039,0.064,0.117000006,0.087000005,0.031000001,5.0090003,5.2570004,1.0,1.0,Linear_oracle,dynamic
295.0,4.947,4.9480004,5.1730003,-0.22600001,0.086,0.65900004,0.26900002,0.091000006,4.776,5.1120005,0.0,0.818,GP_oracle,dynamic
295.0,5.5990005,5.5990005,5.6530004,-0.054,0.072000004,0.085,0.066,0.012,5.4570003,5.7400002,1.0,1.0,Linear_oracle,stoch
295.0,5.347,5.3510003,5.6530004,-0.30600002,0.098000005,0.77500004,0.32500002,0.048,5.1460004,5.5340004,0.0,0.84000003,GP_oracle,stoch
295.0,4.0010004,4.0020003,5.1730003,-1.172,0.066,1.6800001,1.212,0.34600002,3.8700001,4.13,0.0,0.16000001,Linear_observed,dynamic
295.0,3.8940003,3.8940003,5.1730003,-1.279,0.104,1.9820001,1.5250001,0.48900002,3.6910002,4.098,0.0,0.23400001,GP_observed,dynamic
295.0,4.84,4.84,5.6530004,-0.813,0.106000006,1.5870001,1.0200001,0.17500001,4.6330004,5.0480003,0.0,0.252,Linear_observed,stoch
295.0,5.8120003,5.8120003,5.6530004,0.15900001,0.178,1.1880001,0.85,0.165,5.4690003,6.157,1.0,0.33200002,GP_observed,stoch
295.0,4.9550004,4.953,5.1730003,-0.21800001,0.09,0.625,0.47300002,0.185,4.78,5.136,0.0,0.85200006,Linear_3S,dynamic
295.0,4.638,4.638,5.1730003,-0.535,0.119,1.103,0.689,0.22200002,4.4030004,4.868,0.0,0.84200007,GP_3S,dynamic
295.0,5.374,5.372,5.6530004,-0.279,0.097,0.595,0.45600003,0.09200001,5.183,5.5690002,0.0,0.846,Linear_3S,stoch
295.0,4.9290004,4.933,5.6530004,-0.72400004,0.14500001,1.4030001,0.81100005,0.133,4.6340003,5.201,0.0,0.80200005,GP_3S,stoch
295.0,5.116,5.116,5.1730003,-0.057000004,0.071,0.53800005,0.42200002,0.18,4.9740005,5.255,1.0,0.324,Linear_1S,dynamic
295.0,4.9420004,4.9430003,5.1730003,-0.231,0.11400001,0.98200005,0.59000003,0.22200002,4.714,5.1600003,0.0,0.53800005,GP_1S,dynamic
295.0,5.572,5.572,5.6530004,-0.081,0.081,0.47300002,0.372,0.08400001,5.412,5.7300005,1.0,0.312,Linear_1S,stoch
295.0,5.2660003,5.2720003,5.6530004,-0.38700002,0.133,1.202,0.65900004,0.116000004,4.9890003,5.5140004,0.0,0.49,GP_1S,stoch
350.0,5.116,5.117,5.096,0.020000001,0.059000004,0.106000006,0.097,0.030000001,4.999,5.2320004,1.0,1.0,Linear_oracle,dynamic
350.0,5.0620003,5.063,5.096,-0.034,0.074,0.32900003,0.215,0.068,4.913,5.2060003,1.0,0.99000007,GP_oracle,dynamic
350.0,6.0340004,6.0350003,6.0230002,0.011000001,0.080000006,0.062000003,0.05,0.010000001,5.8770003,6.1910005,1.0,1.0,Linear_oracle,stoch
350.0,5.793,5.794,6.0230002,-0.23,0.10700001,0.757,0.287,0.036000002,5.5800004,5.999,0.0,0.91800004,GP_oracle,stoch
350.0,4.157,4.158,5.096,-0.93900007,0.065000005,1.4530001,1.0370001,0.23900001,4.03,4.2840004,0.0,0.164,Linear_observed,dynamic
350.0,4.196,4.196,5.096,-0.90000004,0.101,1.496,1.195,0.33800003,3.999,4.394,0.0,0.24000001,GP_observed,dynamic
350.0,5.42,5.4210005,6.0230002,-0.60300004,0.15,1.5220001,1.0480001,0.165,5.1250005,5.716,0.0,0.27400002,Linear_observed,stoch
350.0,6.1320004,6.1340003,6.0230002,0.109000005,0.365,1.5530001,1.0530001,0.172,5.399,6.8430004,1.0,0.47800002,GP_observed,stoch
350.0,4.921,4.919,5.096,-0.17500001,0.085,0.578,0.44500002,0.120000005,4.754,5.0930004,0.0,0.878,Linear_3S,dynamic
350.0,4.723,4.7240005,5.096,-0.37300003,0.105000004,0.762,0.563,0.143,4.5150003,4.927,0.0,0.85800004,GP_3S,dynamic
350.0,5.708,5.7060003,6.0230002,-0.31500003,0.115,0.634,0.48900002,0.080000006,5.4820004,5.9340005,0.0,0.82400006,Linear_3S,stoch
350.0,5.3110003,5.3160005,6.0230002,-0.712,0.16600001,1.3970001,0.82900006,0.116000004,4.966,5.622,0.0,0.814,GP_3S,stoch
350.0,5.0880003,5.0880003,5.096,-0.008,0.07,0.50600004,0.404,0.119,4.9490004,5.223,1.0,0.354,Linear_1S,dynamic
350.0,4.932,4.933,5.096,-0.164,0.097,0.642,0.48100004,0.141,4.741,5.123,1.0,0.56,GP_1S,dynamic
350.0,5.984,5.984,6.0230002,-0.039,0.097,0.49,0.39400002,0.071,5.793,6.17,1.0,0.32000002,Linear_1S,stoch
350.0,5.6200004,5.624,6.0230002,-0.40300003,0.148,1.125,0.67700005,0.1,5.3170004,5.8960004,0.0,0.504,GP_1S,stoch
405.0,4.5690002,4.5690002,4.5680003,0.001,0.052,0.039,0.033,0.016,4.467,4.67,1.0,1.0,Linear_oracle,dynamic
405.0,4.498,4.498,4.5680003,-0.07,0.067,0.55200005,0.17600001,0.049000002,4.366,4.6280003,1.0,0.96800005,GP_oracle,dynamic
