idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
187.0,2.102,2.098,3.9050002,-1.8030001,0.32900003,1.8330001,1.8030001,0.462,1.4690001,2.7580001,0.0,GP_3S,stoch
187.0,1.4020001,1.4020001,1.4050001,-0.003,0.056,0.056,0.045,0.032,1.291,1.5120001,1.0,Linear_1S,dynamic
187.0,1.264,1.271,1.4050001,-0.141,0.108,0.178,0.149,0.106000006,1.034,1.465,1.0,GP_1S,dynamic
187.0,3.9120002,3.9120002,3.9050002,0.007,0.15100001,0.15100001,0.12100001,0.031000001,3.614,4.209,1.0,Linear_1S,stoch
187.0,3.127,3.1490002,3.9050002,-0.77800006,0.42000002,0.88500005,0.78400004,0.201,2.269,3.8810003,0.0,GP_1S,stoch
220.0,1.304,1.304,1.299,0.0050000004,0.033,0.033,0.027,0.020000001,1.24,1.3690001,1.0,Linear_oracle,dynamic
220.0,1.197,1.2,1.299,-0.102000006,0.056,0.117000006,0.104,0.080000006,1.0780001,1.296,0.0,GP_oracle,dynamic
220.0,3.976,3.9750001,3.9610002,0.015000001,0.09900001,0.1,0.080000006,0.020000001,3.782,4.171,1.0,Linear_oracle,stoch
220.0,3.5630002,3.5660002,3.9610002,-0.39800003,0.179,0.43600002,0.39900002,0.101,3.2050002,3.9020002,0.0,GP_oracle,stoch
220.0,1.0430001,1.0430001,1.299,-0.256,0.066,0.26500002,0.257,0.19800001,0.91300005,1.174,0.0,Linear_observed,dynamic
220.0,0.708,0.708,1.299,-0.591,0.067,0.595,0.591,0.455,0.57500005,0.84000003,0.0,GP_observed,dynamic
220.0,2.9650002,2.9640002,3.9610002,-0.99600005,0.177,1.011,0.99600005,0.25100002,2.6160002,3.3170002,0.0,Linear_observed,stoch
220.0,3.0970001,3.0970001,3.9610002,-0.864,0.16900001,0.88000005,0.86300004,0.21800001,2.7680001,3.43,0.0,GP_observed,stoch
220.0,1.184,1.184,1.299,-0.115,0.054,0.127,0.116000004,0.089,1.08,1.2900001,0.0,Linear_3S,dynamic
