idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
166.0,0.62600005,0.62600005,0.68200004,-0.056,0.023000002,0.26200002,0.26500002,0.19700001,0.19900002,0.57900006,0.67200005,0.0,0.18400002,Linear_1S,dynamic
166.0,0.57500005,0.57500005,0.68200004,-0.10700001,0.028,0.379,0.402,0.24000001,0.24700001,0.51900005,0.629,0.0,0.344,GP_1S,dynamic
166.0,2.47,2.469,2.503,-0.033,0.096,0.35900003,0.374,0.28300002,0.294,2.2770002,2.6590002,1.0,0.40600002,Linear_1S,stoch
166.0,2.3100002,2.311,2.503,-0.193,0.108,0.531,0.57500005,0.35000002,0.37100002,2.095,2.522,1.0,0.586,GP_1S,stoch
221.0,0.77900004,0.77900004,0.75200003,0.027,0.020000001,0.037,0.052,0.027,0.031000001,0.74100006,0.81700003,1.0,1.0,Linear_oracle,dynamic
221.0,0.75500005,0.75500005,0.75200003,0.003,0.025,0.13700001,0.202,0.051000003,0.082,0.70500004,0.804,1.0,0.998,GP_oracle,dynamic
221.0,2.9110003,2.9110003,2.811,0.1,0.072000004,0.10700001,0.134,0.1,0.106000006,2.7700002,3.052,1.0,1.0,Linear_oracle,stoch
221.0,2.8590002,2.8590002,2.811,0.048,0.080000006,0.27800003,0.344,0.128,0.162,2.6990001,3.0180001,1.0,0.99600005,GP_oracle,stoch
221.0,0.517,0.517,0.75200003,-0.23500001,0.041,0.40800002,0.41300002,0.305,0.31100002,0.437,0.59900004,0.0,0.216,Linear_observed,dynamic
221.0,0.476,0.476,0.75200003,-0.27600002,0.055000003,0.61,0.63500005,0.46500003,0.483,0.37,0.58400005,0.0,0.388,GP_observed,dynamic
221.0,1.8820001,1.881,2.811,-0.929,0.132,1.1930001,1.202,0.9710001,0.97800004,1.626,2.1460001,0.0,0.15200001,Linear_observed,stoch
221.0,1.9290001,1.927,2.811,-0.882,0.158,1.3100001,1.3700001,1.0150001,1.049,1.623,2.2450001,0.0,0.35000002,GP_observed,stoch
221.0,0.59000003,0.588,0.75200003,-0.162,0.040000003,0.32200003,0.356,0.24000001,0.26900002,0.51500005,0.671,0.0,0.758,Linear_3S,dynamic
221.0,2.3270001,2.325,2.811,-0.48400003,0.13700001,0.70500004,0.77500004,0.558,0.61200005,2.0630002,2.598,0.0,0.62200004,Linear_3S,stoch
221.0,0.56200004,0.56200004,0.75200003,-0.19000001,0.045,0.33800003,0.432,0.25100002,0.31,0.476,0.651,0.0,0.86800003,GP_3S,dynamic
221.0,2.203,2.203,2.811,-0.60800004,0.14600001,0.80500007,0.93700004,0.647,0.72700006,1.9190001,2.49,0.0,0.75000006,GP_3S,stoch
221.0,0.80200005,0.80200005,0.75200003,0.05,0.032,0.259,0.263,0.208,0.21100001,0.739,0.86500007,1.0,0.22800002,Linear_1S,dynamic
221.0,0.777,0.777,0.75200003,0.025,0.042000003,0.312,0.36200002,0.23700002,0.259,0.694,0.859,1.0,0.512,GP_1S,dynamic
221.0,3.1720002,3.1720002,2.811,0.36100003,0.127,0.568,0.58400005,0.46500003,0.47500002,2.9220002,3.4210002,0.0,0.29000002,Linear_1S,stoch
221.0,3.16,3.16,2.811,0.349,0.177,0.73,0.80600005,0.57600003,0.60800004,2.808,3.5080001,1.0,0.45800003,GP_1S,stoch
276.0,0.675,0.675,0.679,-0.004,0.018000001,0.006,0.037,0.004,0.020000001,0.63900006,0.711,1.0,1.0,Linear_oracle,dynamic
276.0,0.64400005,0.64500004,0.679,-0.035,0.022000002,0.22900002,0.263,0.057000004,0.083000004,0.6,0.68700004,1.0,0.984,GP_oracle,dynamic
276.0,2.601,2.601,2.618,-0.017,0.07300001,0.018000001,0.083000004,0.016,0.062000003,2.46,2.746,1.0,1.0,Linear_oracle,stoch
276.0,2.5110002,2.512,2.618,-0.10700001,0.075,0.513,0.55300003,0.15,0.19100001,2.361,2.664,1.0,0.95600003,GP_oracle,stoch
276.0,0.49800003,0.497,0.679,-0.18100001,0.038000003,0.35000002,0.35500002,0.24300002,0.24900001,0.42400002,0.572,0.0,0.24800001,Linear_observed,dynamic
276.0,0.349,0.349,0.679,-0.33,0.061000004,0.43500003,0.462,0.337,0.358,0.23400001,0.469,0.0,0.47200003,GP_observed,dynamic
276.0,1.692,1.69,2.618,-0.92600006,0.12200001,1.1800001,1.187,0.957,0.961,1.4540001,1.9330001,0.0,0.14,Linear_observed,stoch
276.0,1.8440001,1.8420001,2.618,-0.77400005,0.135,1.2390001,1.2880001,0.98700005,1.0120001,1.585,2.1130002,0.0,0.30800003,GP_observed,stoch
276.0,0.53400004,0.53300005,0.679,-0.14500001,0.032,0.277,0.30600002,0.19800001,0.224,0.47500002,0.59900004,0.0,0.76000005,Linear_3S,dynamic
276.0,2.078,2.0760002,2.618,-0.54,0.120000005,0.73300004,0.78400004,0.59300005,0.628,1.8440001,2.315,0.0,0.518,Linear_3S,stoch
276.0,0.509,0.51000005,0.679,-0.17,0.036000002,0.328,0.4,0.21400002,0.259,0.43800002,0.58000004,0.0,0.85,GP_3S,dynamic
276.0,1.9650002,1.9650002,2.618,-0.65300006,0.124000005,0.86200005,0.96800005,0.679,0.73600006,1.7220001,2.207,0.0,0.70400006,GP_3S,stoch
276.0,0.669,0.669,0.679,-0.010000001,0.026,0.21300001,0.21800001,0.16700001,0.17,0.619,0.721,1.0,0.21000001,Linear_1S,dynamic
276.0,0.63900006,0.63900006,0.679,-0.040000003,0.032,0.32200003,0.35500002,0.19800001,0.21200001,0.57600003,0.70100003,1.0,0.41400003,GP_1S,dynamic
276.0,2.696,2.6940002,2.618,0.078,0.113000005,0.41500002,0.432,0.32000002,0.33600003,2.473,2.9210002,1.0,0.44000003,Linear_1S,stoch
276.0,2.6120002,2.6120002,2.618,-0.006,0.14,0.69500005,0.75000006,0.418,0.45000002,2.3360002,2.8850002,1.0,0.6,GP_1S,stoch
331.0,0.84900004,0.84900004,0.84300005,0.006,0.027,0.047000002,0.064,0.033,0.039,0.795,0.90200007,1.0,1.0,Linear_oracle,dynamic
331.0,0.823,0.823,0.84300005,-0.020000001,0.030000001,0.19700001,0.24300002,0.091000006,0.11100001,0.763,0.88100004,1.0,0.994,GP_oracle,dynamic
331.0,2.5860002,2.5870001,2.5800002,0.006,0.079,0.033,0.093,0.024,0.069000006,2.43,2.7400002,1.0,1.0,Linear_oracle,stoch
331.0,2.482,2.482,2.5800002,-0.098000005,0.082,0.34300002,0.40300003,0.15900001,0.18900001,2.321,2.6430001,1.0,0.99000007,GP_oracle,stoch
331.0,0.448,0.44700003,0.84300005,-0.395,0.044000003,0.535,0.53800005,0.41900003,0.42200002,0.36100003,0.53300005,0.0,0.14400001,Linear_observed,dynamic
331.0,0.16800001,0.16800001,0.84300005,-0.675,0.091000006,0.76900005,0.791,0.67600006,0.68,-0.008,0.349,0.0,0.17600001,GP_observed,dynamic
331.0,1.506,1.5040001,2.5800002,-1.074,0.135,1.294,1.302,1.0830001,1.0890001,1.238,1.7680001,0.0,0.134,Linear_observed,stoch
331.0,1.7390001,1.7360001,2.5800002,-0.841,0.18,1.373,1.4300001,1.085,1.1290001,1.388,2.102,0.0,0.33600003,GP_observed,stoch
331.0,0.59900004,0.597,0.84300005,-0.24400002,0.043,0.397,0.43400002,0.30400002,0.33600003,0.52000004,0.688,0.0,0.708,Linear_3S,dynamic
331.0,1.9430001,1.9390001,2.5800002,-0.637,0.115,0.78800005,0.83500004,0.661,0.693,1.725,2.174,0.0,0.41200003,Linear_3S,stoch
331.0,0.56100005,0.56100005,0.84300005,-0.282,0.045,0.44000003,0.512,0.328,0.38500002,0.476,0.652,0.0,0.75600004,GP_3S,dynamic
331.0,1.817,1.8180001,2.5800002,-0.763,0.119,0.89400005,0.99300003,0.77300006,0.81900007,1.5830001,2.0470002,0.0,0.558,GP_3S,stoch
331.0,0.79800004,0.79700005,0.84300005,-0.045,0.035,0.3,0.30400002,0.23500001,0.238,0.73,0.86800003,1.0,0.21000001,Linear_1S,dynamic
331.0,0.74700004,0.74600005,0.84300005,-0.096,0.045,0.404,0.42700002,0.289,0.30100003,0.66,0.83500004,0.0,0.42200002,GP_1S,dynamic
331.0,2.5310001,2.529,2.5800002,-0.049000002,0.105000004,0.39800003,0.41400003,0.32000002,0.33200002,2.3260002,2.743,1.0,0.36200002,Linear_1S,stoch
331.0,2.335,2.334,2.5800002,-0.245,0.13700001,0.61700004,0.674,0.416,0.441,2.066,2.6020002,1.0,0.554,GP_1S,stoch
386.0,0.77800006,0.77800006,0.754,0.024,0.023000002,0.05,0.063,0.024,0.032,0.73300004,0.82400006,1.0,1.0,Linear_oracle,dynamic
386.0,0.72200006,0.72200006,0.754,-0.032,0.028,0.287,0.324,0.104,0.123,0.666,0.77800006,1.0,0.96000004,GP_oracle,dynamic
386.0,2.878,2.877,2.788,0.09,0.082,0.09200001,0.128,0.09,0.10300001,2.7170002,3.042,1.0,1.0,Linear_oracle,stoch
386.0,2.6990001,2.6990001,2.788,-0.089,0.09200001,0.716,0.76100004,0.27,0.296,2.5180001,2.8760002,1.0,0.93000007,GP_oracle,stoch
386.0,0.51000005,0.51000005,0.754,-0.24400002,0.036000002,0.41000003,0.41400003,0.30800003,0.31100002,0.43800002,0.58100003,0.0,0.21000001,Linear_observed,dynamic
386.0,0.42400002,0.42400002,0.754,-0.33,0.061000004,0.47800002,0.50200003,0.36900002,0.39000002,0.30600002,0.54200006,0.0,0.48800004,GP_observed,dynamic
386.0,1.8750001,1.8740001,2.788,-0.91300005,0.12100001,1.164,1.171,0.95600003,0.9620001,1.6370001,2.1100001,0.0,0.128,Linear_observed,stoch
386.0,1.8090001,1.8090001,2.788,-0.97900003,0.2,1.363,1.439,1.049,1.0830001,1.4120001,2.194,0.0,0.344,GP_observed,stoch
386.0,0.57000005,0.569,0.754,-0.18400002,0.039,0.344,0.374,0.26500002,0.289,0.49600002,0.65000004,0.0,0.694,Linear_3S,dynamic
386.0,2.157,2.154,2.788,-0.63100004,0.128,0.81900007,0.86700004,0.67,0.70000005,1.909,2.4090002,0.0,0.47400004,Linear_3S,stoch
386.0,0.54700005,0.546,0.754,-0.20700002,0.043,0.39900002,0.47100002,0.289,0.33400002,0.46300003,0.633,0.0,0.84000003,GP_3S,dynamic
386.0,2.045,2.045,2.788,-0.74300003,0.128,0.99500006,1.087,0.768,0.81500006,1.794,2.2940001,0.0,0.56600004,GP_3S,stoch
386.0,0.76400006,0.76400006,0.754,0.010000001,0.034,0.272,0.275,0.21800001,0.22000001,0.697,0.83100003,1.0,0.208,Linear_1S,dynamic
386.0,0.73700005,0.73700005,0.754,-0.017,0.039,0.446,0.47300002,0.303,0.31300002,0.66200006,0.814,1.0,0.388,GP_1S,dynamic
386.0,2.8530002,2.8500001,2.788,0.065000005,0.123,0.44400004,0.46300003,0.34800002,0.363,2.6120002,3.0960002,1.0,0.42600003,Linear_1S,stoch
386.0,2.808,2.809,2.788,0.020000001,0.143,1.018,1.062,0.64000005,0.661,2.532,3.0870001,1.0,0.40800002,GP_1S,stoch
441.0,0.86,0.86,0.88000005,-0.020000001,0.027,0.024,0.05,0.020000001,0.032,0.80700004,0.91300005,1.0,1.0,Linear_oracle,dynamic
441.0,0.845,0.84400004,0.88000005,-0.035,0.030000001,0.171,0.224,0.072000004,0.101,0.786,0.90400004,1.0,0.99600005,GP_oracle,dynamic
441.0,2.6490002,2.6490002,2.7080002,-0.059000004,0.082,0.065000005,0.11100001,0.058000002,0.083000004,2.4880002,2.8100002,1.0,1.0,Linear_oracle,stoch
441.0,2.548,2.548,2.7080002,-0.16000001,0.086,0.36800003,0.42600003,0.16000001,0.19100001,2.38,2.7150002,1.0,0.97200006,GP_oracle,stoch
441.0,0.48700002,0.48600003,0.88000005,-0.393,0.05,0.52900004,0.53300005,0.41200003,0.416,0.388,0.587,0.0,0.17,Linear_observed,dynamic
441.0,0.33900002,0.33900002,0.88000005,-0.541,0.085,0.69600004,0.721,0.555,0.577,0.17400001,0.503,0.0,0.34600002,GP_observed,dynamic
441.0,1.5150001,1.5130001,2.7080002,-1.1930001,0.14,1.3740001,1.3820001,1.1960001,1.199,1.243,1.792,0.0,0.072000004,Linear_observed,stoch
441.0,1.8040001,1.8000001,2.7080002,-0.90400004,0.178,1.2850001,1.355,1.067,1.116,1.4690001,2.1590002,0.0,0.32200003,GP_observed,stoch
441.0,0.64100003,0.64000005,0.88000005,-0.23900001,0.045,0.39000002,0.416,0.29500002,0.319,0.55600005,0.734,0.0,0.614,Linear_3S,dynamic
441.0,2.0300002,2.0270002,2.7080002,-0.67800003,0.132,0.837,0.87900007,0.702,0.72900003,1.7770001,2.2930002,0.0,0.386,Linear_3S,stoch
441.0,0.62600005,0.62600005,0.88000005,-0.254,0.05,0.41900003,0.50200003,0.307,0.36100003,0.52900004,0.725,0.0,0.81200004,GP_3S,dynamic
441.0,1.945,1.945,2.7080002,-0.763,0.133,0.933,1.026,0.776,0.818,1.6840001,2.2050002,0.0,0.512,GP_3S,stoch
441.0,0.86200005,0.86200005,0.88000005,-0.018000001,0.042000003,0.286,0.29200003,0.224,0.22800002,0.78000003,0.94400007,1.0,0.24800001,Linear_1S,dynamic
