idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
182.0,2.377,2.377,2.433,-0.056,0.068,0.384,0.45700002,0.185,0.256,0.294,2.2440002,2.5110002,1.0,0.95600003,GP_oracle,dynamic
182.0,3.071,3.0700002,3.1520002,-0.081,0.064,0.117000006,0.156,0.08800001,0.112,0.033,2.946,3.1980002,1.0,1.0,Linear_oracle,stoch
182.0,2.9750001,2.9750001,3.1520002,-0.177,0.071,0.55200005,0.6,0.23500001,0.284,0.093,2.834,3.108,0.0,0.91200006,GP_oracle,stoch
182.0,2.061,2.0600002,2.433,-0.372,0.065000005,1.021,1.029,0.70000005,0.70900005,1.1500001,1.9330001,2.19,0.0,0.256,Linear_observed,dynamic
182.0,1.404,1.4030001,2.433,-1.029,0.16600001,1.868,1.9050001,1.4360001,1.4590001,6.4570003,1.074,1.7300001,0.0,0.286,GP_observed,dynamic
182.0,2.591,2.591,3.1520002,-0.56100005,0.083000004,1.202,1.2090001,0.86200005,0.87000006,0.36600003,2.4280002,2.755,0.0,0.216,Linear_observed,stoch
182.0,3.325,3.3170002,3.1520002,0.17300001,0.23600002,1.0380001,1.1320001,0.776,0.84300005,0.536,2.88,3.801,1.0,0.504,GP_observed,stoch
182.0,2.335,2.335,2.433,-0.098000005,0.072000004,0.549,0.638,0.42800003,0.49600002,0.947,2.1950002,2.476,1.0,0.76000005,Linear_3S,dynamic
182.0,2.8820002,2.881,3.1520002,-0.27,0.09,0.693,0.78200006,0.528,0.59900004,0.282,2.709,3.0630002,0.0,0.744,Linear_3S,stoch
182.0,2.2710001,2.2710001,2.433,-0.162,0.089,0.69600004,0.804,0.51900005,0.596,0.80600005,2.1000001,2.444,1.0,0.744,GP_3S,dynamic
182.0,2.788,2.7870002,3.1520002,-0.36400002,0.096,0.85200006,0.95100003,0.624,0.69500005,0.31,2.601,2.9780002,0.0,0.712,GP_3S,stoch
182.0,2.4050002,2.404,2.433,-0.028,0.056,0.46300003,0.47900003,0.36800003,0.381,0.89400005,2.295,2.5140002,1.0,0.36200002,Linear_1S,dynamic
182.0,2.352,2.3530002,2.433,-0.081,0.076000005,0.619,0.67800003,0.45700002,0.48900002,0.808,2.203,2.4980001,1.0,0.554,GP_1S,dynamic
182.0,3.0690002,3.0690002,3.1520002,-0.083000004,0.076000005,0.55200005,0.565,0.42900002,0.44000003,0.27100003,2.92,3.2220001,1.0,0.30600002,Linear_1S,stoch
182.0,2.9770002,2.9780002,3.1520002,-0.17500001,0.089,0.771,0.81200004,0.541,0.564,0.30100003,2.801,3.1490002,0.0,0.39800003,GP_1S,stoch
237.0,2.6350002,2.634,2.716,-0.081,0.049000002,0.08800001,0.13800001,0.082,0.108,0.23400001,2.5370002,2.73,1.0,1.0,Linear_oracle,dynamic
237.0,2.6060002,2.6060002,2.716,-0.11000001,0.064,0.365,0.432,0.19700001,0.25800002,0.51000005,2.48,2.733,1.0,0.94400007,GP_oracle,dynamic
237.0,3.1690001,3.1690001,3.2600002,-0.091000006,0.058000002,0.093,0.134,0.09200001,0.10700001,0.058000002,3.055,3.2830002,1.0,1.0,Linear_oracle,stoch
237.0,3.114,3.1150002,3.2600002,-0.14600001,0.060000002,0.504,0.544,0.19000001,0.24100001,0.10300001,2.9970002,3.233,0.0,0.91600007,GP_oracle,stoch
237.0,2.278,2.279,2.716,-0.43800002,0.068,1.065,1.0730001,0.74200004,0.75200003,1.7720001,2.1450002,2.411,0.0,0.26200002,Linear_observed,dynamic
237.0,1.812,1.812,2.716,-0.90400004,0.17500001,1.5830001,1.6270001,1.2360001,1.2590001,4.118,1.465,2.1550002,0.0,0.3,GP_observed,dynamic
237.0,2.709,2.709,3.2600002,-0.551,0.078,1.2010001,1.207,0.84200007,0.84900004,0.38700002,2.5540001,2.864,0.0,0.22200002,Linear_observed,stoch
237.0,3.3460002,3.3470001,3.2600002,0.086,0.18200001,0.99200004,1.0610001,0.731,0.77800006,0.36100003,2.989,3.7040002,1.0,0.48200002,GP_observed,stoch
237.0,2.546,2.546,2.716,-0.17,0.07300001,0.651,0.74,0.49800003,0.57100004,1.7370001,2.404,2.6910002,0.0,0.72,Linear_3S,dynamic
237.0,2.992,2.9910002,3.2600002,-0.268,0.087000005,0.72200006,0.81700003,0.549,0.628,0.26500002,2.8230002,3.167,0.0,0.70600003,Linear_3S,stoch
237.0,2.4810002,2.4810002,2.716,-0.23500001,0.09,0.75000006,0.85800004,0.564,0.646,1.6570001,2.309,2.6590002,0.0,0.75000006,GP_3S,dynamic
237.0,2.887,2.887,3.2600002,-0.37300003,0.097,0.89300007,0.994,0.63900006,0.716,0.268,2.6990001,3.0790002,0.0,0.72400004,GP_3S,stoch
237.0,2.6350002,2.6350002,2.716,-0.081,0.057000004,0.545,0.559,0.43300003,0.44300002,1.5860001,2.522,2.7470002,1.0,0.314,Linear_1S,dynamic
237.0,2.5730002,2.575,2.716,-0.143,0.081,0.66400003,0.72200006,0.49,0.52900004,1.5810001,2.414,2.73,1.0,0.546,GP_1S,dynamic
237.0,3.186,3.186,3.2600002,-0.074,0.075,0.573,0.58500004,0.45100003,0.46,0.24300002,3.0410001,3.3320003,1.0,0.286,Linear_1S,stoch
237.0,3.068,3.0730002,3.2600002,-0.192,0.108,0.81200004,0.86500007,0.555,0.582,0.263,2.8370001,3.2640002,1.0,0.44000003,GP_1S,stoch
292.0,2.6000001,2.6000001,2.6330001,-0.033,0.047000002,0.058000002,0.119,0.046000004,0.09,0.21000001,2.506,2.6950002,1.0,1.0,Linear_oracle,dynamic
