idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
449.0,2.3560002,2.3560002,2.5440001,-0.18800001,0.091000006,0.60800004,0.74100006,0.467,0.565,1.1040001,2.1780002,2.536,0.0,0.85200006,GP_3S,dynamic
449.0,2.844,2.841,3.1620002,-0.31800002,0.104,0.74,0.864,0.546,0.648,0.282,2.6450002,3.0530002,0.0,0.81600004,GP_3S,stoch
449.0,2.513,2.512,2.5440001,-0.031000001,0.058000002,0.45700002,0.47100002,0.358,0.36800003,0.95900005,2.4,2.627,1.0,0.34800002,Linear_1S,dynamic
449.0,2.4870002,2.486,2.5440001,-0.057000004,0.080000006,0.54700005,0.606,0.41700003,0.45600003,1.016,2.331,2.6450002,1.0,0.58400005,GP_1S,dynamic
449.0,3.127,3.127,3.1620002,-0.035,0.076000005,0.52900004,0.54,0.40800002,0.418,0.238,2.9780002,3.2770002,1.0,0.28800002,Linear_1S,stoch
449.0,3.0540001,3.055,3.1620002,-0.108,0.094000004,0.65300006,0.698,0.47400004,0.50200003,0.273,2.868,3.239,1.0,0.47400004,GP_1S,stoch
504.0,2.5210001,2.5210001,2.545,-0.024,0.05,0.104,0.149,0.081,0.11000001,0.127,2.423,2.6200001,1.0,1.0,Linear_oracle,dynamic
504.0,2.473,2.473,2.545,-0.072000004,0.066,0.35200003,0.423,0.163,0.231,0.42800003,2.345,2.6020002,1.0,0.99000007,GP_oracle,dynamic
504.0,3.0410001,3.0410001,3.085,-0.044000003,0.061000004,0.098000005,0.13800001,0.074,0.098000005,0.057000004,2.9210002,3.163,1.0,1.0,Linear_oracle,stoch
504.0,2.966,2.9670002,3.085,-0.119,0.067,0.402,0.455,0.178,0.22500001,0.162,2.8330002,3.0960002,1.0,0.9760001,GP_oracle,stoch
504.0,2.17,2.171,2.545,-0.37500003,0.064,0.93900007,0.94600004,0.65400004,0.66300005,1.3160001,2.0410001,2.2970002,0.0,0.24800001,Linear_observed,dynamic
504.0,1.769,1.769,2.545,-0.776,0.18,1.322,1.376,1.0040001,1.0370001,3.3040001,1.4150001,2.124,0.0,0.40600002,GP_observed,dynamic
504.0,2.512,2.512,3.085,-0.573,0.076000005,1.1,1.107,0.77800006,0.785,0.40800002,2.3620002,2.661,0.0,0.19600001,Linear_observed,stoch
504.0,2.5010002,2.5040002,3.085,-0.58400005,0.21000001,1.24,1.3110001,0.84800005,0.8880001,0.45200002,2.082,2.901,0.0,0.504,GP_observed,stoch
504.0,2.394,2.3930001,2.545,-0.15100001,0.069000006,0.597,0.67300004,0.44900003,0.51600003,1.1,2.2610002,2.532,0.0,0.726,Linear_3S,dynamic
504.0,2.8030002,2.801,3.085,-0.282,0.083000004,0.68,0.75900006,0.517,0.58100003,0.293,2.644,2.9720001,0.0,0.71000004,Linear_3S,stoch
504.0,2.309,2.309,2.545,-0.23600002,0.08400001,0.75500005,0.846,0.52900004,0.6,1.343,2.147,2.4740002,0.0,0.73200005,GP_3S,dynamic
504.0,2.663,2.6620002,3.085,-0.42200002,0.095000006,0.88000005,0.96700007,0.62100005,0.684,0.38000003,2.4770002,2.8500001,0.0,0.72,GP_3S,stoch
504.0,2.4870002,2.4870002,2.545,-0.058000002,0.056,0.503,0.517,0.39100003,0.40100002,0.98200005,2.377,2.598,1.0,0.324,Linear_1S,dynamic
504.0,2.411,2.4120002,2.545,-0.134,0.081,0.661,0.716,0.46400002,0.499,1.273,2.2510002,2.5700002,1.0,0.572,GP_1S,dynamic
504.0,2.983,2.983,3.085,-0.102000006,0.071,0.541,0.55300003,0.425,0.432,0.27,2.8420002,3.124,1.0,0.26200002,Linear_1S,stoch
504.0,2.8060002,2.811,3.085,-0.279,0.104,0.781,0.83300006,0.54200006,0.56600004,0.33100003,2.594,3.0040002,0.0,0.44000003,GP_1S,stoch
