idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
268,3.2770002,3.2760003,3.5850003,-0.30800003,0.098000005,0.84700006,0.95600003,0.60300004,0.69200003,0.423,3.088,3.4720001,0,0.76000005,GP_3S,stoch
268,3.2450001,3.2450001,3.2530003,-0.008,0.071,0.551,0.56600004,0.437,0.45000002,0.76400006,3.107,3.3850002,1,0.33,Linear_1S,dynamic
268,3.2200003,3.2200003,3.2530003,-0.033,0.09,0.73600006,0.786,0.544,0.57600003,0.9710001,3.0410001,3.3980002,1,0.48800004,GP_1S,dynamic
268,3.5870001,3.588,3.5850003,0.002,0.082,0.52500004,0.53900003,0.41500002,0.42600003,0.294,3.426,3.7500002,1,0.33400002,Linear_1S,stoch
268,3.4970002,3.496,3.5850003,-0.08800001,0.093,0.79300004,0.836,0.55200005,0.57600003,0.469,3.315,3.676,1,0.416,GP_1S,stoch
323,2.693,2.6940002,2.6920002,0.001,0.05,0.102000006,0.15,0.079,0.11100001,0.573,2.594,2.789,1,1,Linear_oracle,dynamic
323,2.6780002,2.6780002,2.6920002,-0.014,0.067,0.541,0.596,0.24200001,0.29000002,1.2210001,2.5440001,2.8070002,1,0.882,GP_oracle,dynamic
323,3.2680001,3.2680001,3.275,-0.007,0.060000002,0.064,0.119,0.049000002,0.085,0.040000003,3.1490002,3.3850002,1,1,Linear_oracle,stoch
323,3.2340002,3.2350001,3.275,-0.041,0.065000005,0.44700003,0.49800003,0.18300001,0.22800002,0.09,3.107,3.3600001,1,0.966,GP_oracle,stoch
323,2.288,2.288,2.6920002,-0.404,0.067,1.1170001,1.1240001,0.762,0.77000004,4.9480004,2.1560001,2.4190001,0,0.23400001,Linear_observed,dynamic
323,2.148,2.1490002,2.6920002,-0.544,0.179,1.462,1.5090001,1.072,1.102,8.427,1.7960001,2.4970002,0,0.37600002,GP_observed,dynamic
323,2.7870002,2.7870002,3.275,-0.48800004,0.080000006,1.2320001,1.2390001,0.86100006,0.86800003,0.38200003,2.631,2.9450002,0,0.22000001,Linear_observed,stoch
323,3.1850002,3.186,3.275,-0.09,0.21900001,1.2060001,1.284,0.81700003,0.87200004,0.513,2.7540002,3.617,1,0.47400004,GP_observed,stoch
323,2.591,2.591,2.6920002,-0.101,0.07300001,0.58900005,0.70100003,0.45000002,0.54200006,4.841,2.45,2.7340002,1,0.81200004,Linear_3S,dynamic
323,3.0920002,3.091,3.275,-0.18300001,0.085,0.665,0.78200006,0.504,0.60300004,0.28100002,2.9280002,3.2630002,0,0.77800006,Linear_3S,stoch
323,2.572,2.572,2.6920002,-0.120000005,0.089,0.78900003,0.91,0.518,0.619,4.6450005,2.398,2.746,1,0.83000004,GP_3S,dynamic
323,3.0360003,3.035,3.275,-0.23900001,0.09200001,0.81600004,0.94900006,0.56,0.675,0.314,2.858,3.2200003,0,0.82800007,GP_3S,stoch
323,2.6890001,2.6890001,2.6920002,-0.003,0.055000003,0.48400003,0.499,0.377,0.388,4.643,2.581,2.7970002,1,0.35200003,Linear_1S,dynamic
323,2.6650002,2.6650002,2.6920002,-0.027,0.075,0.73800004,0.78700006,0.469,0.50100005,4.689,2.5170002,2.8130002,1,0.536,GP_1S,dynamic
323,3.3060002,3.305,3.275,0.031000001,0.07,0.541,0.55200005,0.43,0.439,0.28100002,3.1720002,3.4440002,1,0.27600002,Linear_1S,stoch
323,3.2450001,3.246,3.275,-0.030000001,0.079,0.75100005,0.794,0.518,0.53900003,0.33100003,3.0900002,3.4010003,1,0.40600002,GP_1S,stoch
378,2.7600002,2.7600002,2.848,-0.08800001,0.052,0.105000004,0.149,0.08800001,0.11800001,0.18800001,2.661,2.8630002,1,1,Linear_oracle,dynamic
378,2.71,2.709,2.848,-0.13800001,0.066,0.38700002,0.45100003,0.17,0.23400001,0.323,2.5800002,2.841,0,0.99000007,GP_oracle,dynamic
378,2.9540002,2.953,3.0470002,-0.093,0.055000003,0.094000004,0.13000001,0.093,0.106000006,0.060000002,2.848,3.0640001,1,1,Linear_oracle,stoch
378,2.8950002,2.894,3.0470002,-0.15200001,0.058000002,0.286,0.34300002,0.157,0.19800001,0.067,2.782,3.0100002,0,0.91600007,GP_oracle,stoch
378,2.3040001,2.3040001,2.848,-0.544,0.060000002,1.1270001,1.1340001,0.81000006,0.81600004,1.19,2.1850002,2.4220002,0,0.178,Linear_observed,dynamic
378,2.338,2.3370001,2.848,-0.51000005,0.12900001,1.3620001,1.3970001,1.0320001,1.059,2.973,2.0860002,2.595,0,0.33200002,GP_observed,dynamic
378,2.5310001,2.5310001,3.0470002,-0.51600003,0.075,1.113,1.1190001,0.79800004,0.80500007,0.42200002,2.3830001,2.677,0,0.18400002,Linear_observed,stoch
378,3.3500001,3.348,3.0470002,0.303,0.15100001,0.95100003,1.001,0.73300004,0.762,0.56200004,3.062,3.6460001,0,0.42200002,GP_observed,stoch
378,0.61700004,0.573,2.848,-2.2310002,0.596,2.43,2.506,2.2310002,2.239,5.3110003,-0.455,1.8870001,0,0.158,Linear_3S,dynamic
378,0.531,0.48200002,3.0470002,-2.516,0.665,2.69,2.775,2.516,2.5200002,1.6960001,-0.67,1.9420002,0,0.104,Linear_3S,stoch
