idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
33_1_2,obs_net,stoch,3.0,1.83998,1.83041,5.03565,-3.19567,0.44178,3.22606,0.64063996,3.19567,0.62419,0.9748124,2.7164652,False,0.0,6.2019973
33_1_2,MWG,dynamic,3.0,4.30531,4.12295,4.46763,-0.16232,0.17535,0.23895,0.05348,0.60686,0.16015999,3.9564686,4.6072392,True,0.97999996,2.052579
33_1_2,MWG,stoch,3.0,4.85148,4.67095,5.03565,-0.18417,0.17222999,0.25215998,0.05007,0.38129,0.07553,4.504476,5.138178,True,0.894,2.052579
33_1_2,MWG_rep,dynamic,3.0,3.78312,3.67205,4.46763,-0.68451,0.13826999,0.69834,0.15630999,0.83963996,0.19400999,3.5086162,4.0469966,False,0.97999996,2.306009
33_1_2,MWG_rep,stoch,3.0,4.23123,4.0745797,5.03565,-0.80442,0.10692,0.81149995,0.16115,0.81988996,0.15703,4.0237174,4.439113,False,0.346,2.306009
33_1_3,true_net,dynamic,3.5,4.44037,4.07813,4.46763,-0.02726,0.0148,0.031019999,0.0069399998,0.02726,0.00664,4.411486,4.469454,True,0.352,0.3103667
33_1_3,true_net,stoch,3.5,5.00497,4.81699,5.03565,-0.030679999,0.01667,0.03492,0.0069299997,0.030679999,0.00604,4.9724183,5.0377254,True,1.0,0.3103667
33_1_3,obs_net,dynamic,3.5,1.40283,0.9177,4.46763,-3.0648,0.53064,3.1104,0.69620997,3.0648,0.72233,0.36028665,2.4525082,False,0.012,6.585131
33_1_3,obs_net,stoch,3.5,1.54932,1.5463699,5.03565,-3.4863298,0.55781996,3.53067,0.70114,3.4863298,0.68347,0.44934657,2.6506307,False,0.0,6.585131
33_1_3,MWG,dynamic,3.5,3.78316,3.5686,4.46763,-0.68448,0.107429996,0.69286,0.15507999,0.81938,0.18851,3.5758405,3.9977176,False,0.926,2.167344
33_1_3,MWG,stoch,3.5,4.2793097,4.09114,5.03565,-0.75635,0.09522,0.76232,0.15138,0.77318,0.15021,4.0997667,4.4754667,False,0.43199998,2.167344
33_1_3,MWG_rep,dynamic,3.5,3.7538998,3.6048799,4.46763,-0.71373,0.13447,0.72629,0.16257,0.86945,0.20167999,3.4986897,4.012765,False,0.97599995,2.3160152
33_1_3,MWG_rep,stoch,3.5,4.2013397,4.03743,5.03565,-0.83431,0.114479996,0.84213,0.16723,0.85416996,0.16409,3.985426,4.4279118,False,0.352,2.3160152
33_1_4,true_net,dynamic,4.0,4.4404297,4.0781198,4.46763,-0.027199998,0.01509,0.03111,0.00696,0.027199998,0.0066299997,4.410615,4.4698615,True,0.352,0.3117412
33_1_4,true_net,stoch,4.0,5.0050297,4.81707,5.03565,-0.03062,0.016999999,0.035019998,0.00696,0.03062,0.00603,4.971456,5.0381846,True,1.0,0.3117412
33_1_4,obs_net,dynamic,4.0,0.75290996,0.31598,4.46763,-3.71472,0.65511,3.77204,0.8443,3.71472,0.89965,-0.5143644,2.0432389,False,0.0019999999,7.4265656
33_1_4,obs_net,stoch,4.0,0.86429,0.86258996,5.03565,-4.17137,0.69764,4.2293,0.83987,4.17137,0.82356,-0.48519143,2.2375743,False,0.0,7.4265656
33_1_4,MWG,dynamic,4.0,3.8992898,3.7099,4.46763,-0.56834,0.11373,0.57961,0.12973,0.74701,0.17446,3.6799953,4.119121,False,0.95199996,2.0250762
33_1_4,MWG,stoch,4.0,4.3962297,4.21988,5.03565,-0.63943,0.127,0.65191,0.12945999,0.66701996,0.12833999,4.156328,4.631702,False,0.542,2.0250762
33_1_4,MWG_rep,dynamic,4.0,3.76526,3.64809,4.46763,-0.70237,0.16295,0.72103,0.16138999,0.83572,0.19003,3.470668,4.08813,False,0.96599996,2.272607
33_1_4,MWG_rep,stoch,4.0,4.26119,4.08733,5.03565,-0.77447,0.13799,0.78665996,0.15621999,0.79811,0.15361999,4.0244484,4.5559683,False,0.378,2.272607
33_2_0,true_net,dynamic,2.0,4.6637397,4.3213,4.6784997,-0.01476,0.01555,0.02144,0.00458,0.01476,0.00333,4.6330957,4.693824,True,1.0,0.2854017
33_2_0,true_net,stoch,2.0,5.1184297,4.90998,5.1346297,-0.0162,0.01707,0.02354,0.00458,0.0162,0.00314,5.0848007,5.151449,True,1.0,0.2854017
33_2_0,obs_net,dynamic,2.0,1.6994,0.86837995,4.6784997,-2.9791,0.28588,2.99279,0.63969,2.9791,0.67402,1.1367165,2.2484987,False,0.0,6.0440836
33_2_0,obs_net,stoch,2.0,1.8157899,1.8081299,5.1346297,-3.31884,0.29198,3.33166,0.64886,3.31884,0.6364,1.2402549,2.3765147,False,0.0,6.0440836
33_2_0,MWG,dynamic,2.0,4.64345,4.3916698,4.6784997,-0.035049997,0.19996999,0.20301999,0.04339,0.62836,0.15965,4.296991,5.018152,True,0.988,2.0084155
33_2_0,MWG,stoch,2.0,5.1119,4.91862,5.1346297,-0.022739999,0.19811,0.19940999,0.03884,0.33938998,0.067559995,4.783958,5.4922733,True,0.90999997,2.0084155
33_2_0,MWG_rep,dynamic,2.0,3.87651,3.7349498,4.6784997,-0.80199,0.12535,0.81172997,0.1735,0.9324,0.20270999,3.6319764,4.116665,False,0.954,2.4404128
33_2_0,MWG_rep,stoch,2.0,4.26473,4.09645,5.1346297,-0.8699,0.10149,0.87579995,0.17057,0.87684995,0.16488999,4.070131,4.4670715,False,0.296,2.4404128
33_2_1,true_net,dynamic,2.5,4.66367,4.32112,4.6784997,-0.01483,0.01588,0.02173,0.00464,0.01483,0.0033399998,4.632655,4.69494,True,1.0,0.28230193
33_2_1,true_net,stoch,2.5,5.11836,4.90996,5.1346297,-0.01627,0.01743,0.02385,0.00464,0.01627,0.00315,5.0843167,5.152674,True,1.0,0.28230193
33_2_1,obs_net,dynamic,2.5,1.6352899,0.87738997,4.6784997,-3.04321,0.35068,3.06335,0.65476996,3.04321,0.68863,0.9318863,2.3253136,False,0.0,6.205554
33_2_1,obs_net,stoch,2.5,1.74926,1.74638,5.1346297,-3.38537,0.35706,3.40415,0.66297996,3.38537,0.64961,1.0308576,2.448786,False,0.0,6.205554
33_2_1,MWG,dynamic,2.5,3.9821398,3.77545,4.6784997,-0.69636,0.18154,0.71963996,0.15382,0.84252,0.18462,3.6489203,4.3071203,False,0.936,2.1329238
33_2_1,MWG,stoch,2.5,4.42,4.23245,5.1346297,-0.71463,0.19347,0.74035,0.14419,0.72633,0.13722,4.090812,4.780254,False,0.59999996,2.1329238
33_2_1,MWG_rep,dynamic,2.5,3.76194,3.62475,4.6784997,-0.91656,0.12665999,0.92526996,0.19777,0.99995995,0.21811,3.5163069,4.0164943,False,0.95199996,2.5850558
33_2_1,MWG_rep,stoch,2.5,4.14462,3.9828398,5.1346297,-0.99000996,0.11345,0.99649,0.19407,0.99176997,0.18690999,3.92634,4.3723326,False,0.25,2.5850558
33_2_2,true_net,dynamic,3.0,4.66382,4.32102,4.6784997,-0.01468,0.01606,0.02175,0.00465,0.01468,0.0033099998,4.6321154,4.6951513,True,1.0,0.28552192
33_2_2,true_net,stoch,3.0,5.11853,4.9101,5.1346297,-0.01611,0.01762,0.023869999,0.00465,0.01611,0.00312,5.0837245,5.1529064,True,1.0,0.28552192
33_2_2,obs_net,dynamic,3.0,1.5267199,0.87375,4.6784997,-3.15178,0.45604,3.1845999,0.68069,3.15178,0.71498996,0.62765044,2.417445,False,0.0019999999,6.397667
33_2_2,obs_net,stoch,3.0,1.64708,1.64981,5.1346297,-3.48755,0.47239,3.5194,0.68542,3.48755,0.66998,0.7174446,2.5701897,False,0.0,6.397667
33_2_2,MWG,dynamic,3.0,3.72889,3.5019999,4.6784997,-0.94961,0.115449995,0.95660996,0.20447,1.03467,0.22570999,3.489396,3.9424,False,0.856,2.8071048
33_2_2,MWG,stoch,3.0,4.09981,3.93304,5.1346297,-1.03482,0.111839995,1.0408499,0.20270999,1.0353,0.1979,3.8974302,4.3130918,False,0.308,2.8071048
33_2_2,MWG_rep,dynamic,3.0,3.7695498,3.61669,4.6784997,-0.90895,0.12557,0.91757995,0.19613,1.0172,0.22388,3.5306163,4.0243435,False,0.95199996,2.508928
33_2_2,MWG_rep,stoch,3.0,4.14275,3.97499,5.1346297,-0.99188,0.1065,0.99758,0.19429,0.99786997,0.18835999,3.941451,4.3624926,False,0.24599999,2.508928
33_2_3,true_net,dynamic,3.5,4.6637397,4.32098,4.6784997,-0.01476,0.01592,0.02171,0.00464,0.01476,0.00332,4.6325974,4.6951904,True,1.0,0.28300023
