idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
95,MWG,dynamic,3.5,3.74685,3.1759799,4.12356,-0.37669998,0.16500999,0.41125998,0.09973,0.37714,0.09146,3.455019,4.0793605,False,0.81399995
95,MWG,stochastic,3.5,5.04392,4.85381,5.4972,-0.45328,0.41305,0.61324996,0.111559995,0.51508,0.0937,4.257559,5.8892612,True,0.932
95,MWG_rep,dynamic,3.5,3.5639598,2.99434,4.12356,-0.5596,0.11914,0.57214,0.13875,0.5596,0.13571,3.3585975,3.8227391,False,0.618
95,MWG_rep,stochastic,3.5,4.83308,4.67337,5.4972,-0.66411,0.34500998,0.74838,0.13614,0.66977,0.12184,4.1411905,5.4909334,False,0.86399996
120,true_net,dynamic,1.0,3.90995,3.37161,3.92519,-0.01524,0.01294,0.02,0.0050899996,0.016789999,0.00428,3.8853283,3.9357023,True,1.0
120,true_net,stoch,1.0,5.06691,4.90102,5.08639,-0.01948,0.0169,0.025789998,0.00507,0.02161,0.0042499998,5.034885,5.10061,True,1.0
120,obs_net,dynamic,1.0,1.68088,0.90204,3.92519,-2.24431,0.17464,2.2510998,0.5735,2.24431,0.57177,1.3358519,2.0196548,False,0.007999999
120,obs_net,stoch,1.0,2.02927,1.9964399,5.08639,-3.0571299,0.20627,3.06408,0.60240996,3.0571299,0.60104,1.6218622,2.4280503,False,0.0
120,MWG,dynamic,1.0,5.47748,4.95945,3.92519,1.55229,0.15674,1.56018,0.39747998,1.55229,0.39547,5.259316,5.9096284,False,0.176
120,MWG,stochastic,1.0,6.9532,6.77036,5.08639,1.86681,0.51307,1.9360299,0.38063,1.86681,0.36701998,5.9645233,8.015289,False,0.094
120,MWG_rep,dynamic,1.0,7.3642797,6.9601398,3.92519,3.43909,0.5675,3.4856,0.88800997,3.43909,0.87615997,6.1456585,8.338414,False,0.03
120,MWG_rep,stochastic,1.0,8.98859,8.94753,5.08639,3.9022,0.92354,4.0099998,0.78837997,3.9022,0.76717997,7.16921,10.758665,False,0.031999998
126,true_net,dynamic,1.5,3.91011,3.3717499,3.92519,-0.01509,0.012809999,0.01979,0.0050399997,0.0166,0.00423,3.884802,3.9354467,True,1.0
126,true_net,stoch,1.5,5.06712,4.90125,5.08639,-0.01927,0.016719999,0.025519999,0.00502,0.021359999,0.0042,5.034198,5.1002107,True,1.0
126,obs_net,dynamic,1.5,1.42065,0.63584,3.92519,-2.50454,0.19107999,2.5118198,0.63992,2.50454,0.63807,1.0468893,1.7960464,False,0.0
126,obs_net,stoch,1.5,1.7097,1.68985,5.08639,-3.37669,0.22095999,3.38391,0.66529,3.37669,0.66387,1.2760395,2.1443834,False,0.0
126,MWG,dynamic,1.5,0.15777999,0.0,3.92519,-3.7674198,0.0,3.7674198,0.9598,3.7674098,0.9598,0.15777746,0.15778157,False,0.0
126,MWG,stochastic,1.5,0.19473,0.19487,5.08639,-4.8916597,0.00021,4.8916597,0.96172,4.8916597,0.96172,0.19431432,0.1951574,False,0.0
126,MWG_rep,dynamic,1.5,4.10541,3.49015,3.92519,0.18021,0.12088,0.217,0.05528,0.18806,0.047909997,3.8614821,4.3315444,True,0.74
126,MWG_rep,stochastic,1.5,5.3023996,5.12747,5.08639,0.21600999,0.39892,0.45365,0.08919,0.36212,0.07119,4.5227785,6.1070237,True,0.98999995
132,true_net,dynamic,2.0,3.9101799,3.3717098,3.92519,-0.01502,0.0124699995,0.01952,0.0049699997,0.016409999,0.0041799997,3.8855424,3.9346948,True,1.0
132,true_net,stoch,2.0,5.0672097,4.90135,5.08639,-0.01918,0.01628,0.02516,0.00495,0.0211,0.00415,5.034962,5.09915,True,1.0
132,obs_net,dynamic,2.0,1.5590099,0.81461,3.92519,-2.36618,0.22999999,2.3773298,0.60565996,2.36618,0.60282,1.1035781,2.0113394,False,0.0019999999
132,obs_net,stoch,2.0,1.8528299,1.83458,5.08639,-3.2335598,0.26004,3.244,0.63778,3.2335598,0.63572997,1.3378589,2.3630896,False,0.0
132,MWG,dynamic,2.0,3.2706099,2.75456,3.92519,-0.65459,0.11632,0.66484,0.16938,0.65459,0.16677,3.0306137,3.493328,False,0.694
132,MWG,stochastic,2.0,4.34278,4.16407,5.08639,-0.74362,0.34803,0.82102996,0.16142,0.74887997,0.14723,3.6705103,5.050722,False,0.752
132,MWG_rep,dynamic,2.0,3.0530999,2.50721,3.92519,-0.87209,0.07137,0.87500995,0.22292,0.87209,0.22218,2.9201832,3.1966767,False,0.376
132,MWG_rep,stochastic,2.0,4.0264797,3.88255,5.08639,-1.0599099,0.31755,1.10646,0.21753,1.0599099,0.20838,3.3901794,4.6634407,False,0.678
138,true_net,dynamic,2.5,3.90995,3.37164,3.92519,-0.01524,0.01284,0.01993,0.00508,0.016689999,0.0042499998,3.8843195,3.9349048,True,1.0
138,true_net,stoch,2.5,5.06691,4.90106,5.08639,-0.01948,0.01677,0.0257,0.00505,0.021459999,0.00422,5.0334716,5.0994225,True,1.0
