idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
13_6_3,obs_net,dynamic,2.5,1.06462,0.29079,3.9238498,-2.85923,0.28463998,2.87336,0.73227996,2.85923,0.79841995,0.5050602,1.6244984,False,0.0019999999,6.986166
13_6_3,obs_net,stoch,2.5,1.36662,1.36412,5.27616,-3.90954,0.33644998,3.92399,0.74372,3.90954,0.73362,0.70679516,2.0281267,False,0.0,6.986166
13_6_3,MWG,dynamic,2.5,3.20533,2.70242,3.9238498,-0.71852,0.114429995,0.72757,0.18541999,0.84002,0.22811,2.9705682,3.3939297,False,0.74799997,2.4364276
13_6_3,MWG,stoch,2.5,4.3747697,4.1858897,5.27616,-0.90138996,0.35487,0.96873,0.18360999,0.90466,0.16827999,3.6782331,5.0563545,False,0.58,2.4364276
13_6_3,MWG_rep,dynamic,2.5,3.4399998,2.89837,3.9238498,-0.48385,0.12634,0.50007,0.12743999,0.71516997,0.20199999,3.17244,3.6646645,False,0.666,2.2490325
13_6_3,MWG_rep,stoch,2.5,4.63186,4.47538,5.27616,-0.6443,0.31961,0.71922,0.13631,0.67551,0.122779995,4.0182724,5.2545695,False,0.858,2.2490325
13_6_4,true_net,dynamic,3.0,3.9112198,3.3871899,3.9238498,-0.01263,0.013309999,0.01835,0.00468,0.01263,0.00311,3.8848643,3.9376805,True,1.0,0.3105642
13_6_4,true_net,stoch,3.0,5.2592397,5.04514,5.27616,-0.01691,0.018029999,0.02472,0.00469,0.01691,0.0032199998,5.22358,5.295079,True,1.0,0.3105642
13_6_4,obs_net,dynamic,3.0,0.87134,0.13053,3.9238498,-3.05251,0.35031,3.0725398,0.78304,3.05251,0.85960996,0.18768576,1.5616189,False,0.0,7.314638
13_6_4,obs_net,stoch,3.0,1.13781,1.13709,5.27616,-4.13835,0.41801998,4.15941,0.78834,4.13835,0.77827,0.32311335,1.9643726,False,0.0,7.314638
13_6_4,MWG,dynamic,3.0,3.25914,2.77266,3.9238498,-0.6647,0.10937,0.67364,0.17167999,0.79179996,0.21420999,3.0390952,3.462325,False,0.76199996,2.371756
13_6_4,MWG,stoch,3.0,4.38933,4.20615,5.27616,-0.88683,0.32744998,0.94535,0.17917,0.89084,0.16451,3.7602592,5.02709,False,0.57199997,2.371756
13_6_4,MWG_rep,dynamic,3.0,3.31121,2.74276,3.9238498,-0.61263996,0.15395999,0.63168997,0.16099,0.81246,0.22286999,3.027505,3.6197197,False,0.564,2.4372108
13_6_4,MWG_rep,stoch,3.0,4.38103,4.25124,5.27616,-0.89513,0.30069,0.94429,0.17897,0.90983,0.16585,3.8062453,4.9693213,False,0.714,2.4372108
13_6_5,true_net,dynamic,3.5,3.9110498,3.3869998,3.9238498,-0.0128,0.01311,0.01832,0.0046699997,0.0128,0.00315,3.885376,3.9370015,True,1.0,0.3125348
13_6_5,true_net,stoch,3.5,5.25902,5.04489,5.27616,-0.01714,0.01776,0.024689998,0.00468,0.01714,0.00326,5.224278,5.2942157,True,1.0,0.3125348
13_6_5,obs_net,dynamic,3.5,0.71037996,0.00545,3.9238498,-3.21347,0.42204,3.24107,0.82598996,3.21347,0.91089,-0.11917641,1.5306122,False,0.0,7.592467
13_6_5,obs_net,stoch,3.5,0.94369996,0.94341,5.27616,-4.33246,0.50767,4.3621097,0.82676,4.33246,0.81615996,-0.05873455,1.9296999,False,0.0,7.592467
13_6_5,MWG,dynamic,3.5,3.61633,3.03106,3.9238498,-0.30752,0.13645,0.33644,0.08574,0.63133997,0.18627,3.3723905,3.8826492,False,0.83199996,1.960865
13_6_5,MWG,stoch,3.5,4.77059,4.58611,5.27616,-0.50557,0.36922,0.62602997,0.11865,0.54859,0.100389995,4.0547385,5.4928036,True,0.908,1.960865
13_6_5,MWG_rep,dynamic,3.5,3.2473998,2.6896899,3.9238498,-0.67644995,0.11432999,0.68604,0.17483999,0.83734995,0.23096,3.0476642,3.4879851,False,0.52599996,2.4457245
13_6_5,MWG_rep,stoch,3.5,4.34032,4.19549,5.27616,-0.93583995,0.30936,0.98565,0.18681,0.9468,0.17379999,3.7506008,4.9569407,False,0.668,2.4457245
13_7_0,true_net,dynamic,1.0,4.26365,3.77976,4.25691,0.0067399996,0.01243,0.01414,0.00332,0.0067399996,0.00111,4.2390175,4.288134,True,1.0,0.31920683
13_7_0,true_net,stoch,1.0,5.4109297,5.2162,5.40211,0.00882,0.01568,0.017989999,0.00333,0.00882,0.00168,5.379746,5.441957,True,1.0,0.31920683
13_7_0,obs_net,dynamic,1.0,1.91292,1.03554,4.25691,-2.3439898,0.18033,2.35092,0.55226,2.3439898,0.58371,1.5627933,2.2641518,False,0.025999999,5.8397427
13_7_0,obs_net,stoch,1.0,2.42565,2.37834,5.40211,-2.97646,0.22113,2.98466,0.5525,2.97646,0.53852,1.9963539,2.8580642,False,0.0019999999,5.8397427
13_7_0,MWG,dynamic,1.0,4.3854,3.85107,4.25691,0.12848,0.15116,0.19838999,0.0466,0.54851997,0.17241,4.1141324,4.682471,True,0.852,2.149223
13_7_0,MWG,stoch,1.0,5.60214,5.40065,5.40211,0.20003,0.40548998,0.45214,0.0837,0.34724998,0.06917,4.8359623,6.4146256,True,0.992,2.149223
13_7_0,MWG_rep,dynamic,1.0,-0.7269,-1.50404,4.25691,-4.98381,0.15343,4.98617,1.17131,4.98381,1.34731,-1.0272183,-0.4278629,False,0.0,9.933001
13_7_0,MWG_rep,stoch,1.0,-0.96936,-1.14703,5.40211,-6.37146,0.26492,6.37697,1.18046,6.37146,1.20259,-1.501456,-0.4655081,False,0.0,9.933001
